Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;4;6.15%;3;4.62%;32;49.23%;13;20%;8;12.31%;5;7.69%;65
CENTRO-OESTE;52;GO;520310;BALIZA;13;14.77%;6;6.82%;32;36.36%;14;15.91%;5;5.68%;18;20.45%;88
CENTRO-OESTE;52;GO;520320;BARRO ALTO;4;1.62%;5;2.02%;166;67.21%;47;19.03%;14;5.67%;11;4.45%;247
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;9;1.76%;12;2.35%;367;71.82%;70;13.7%;31;6.07%;22;4.31%;511
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;2;0.87%;8;3.46%;154;66.67%;35;15.15%;20;8.66%;12;5.19%;231
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;25;5.57%;17;3.79%;247;55.01%;63;14.03%;54;12.03%;43;9.58%;449
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;5;2.33%;9;4.19%;107;49.77%;58;26.98%;18;8.37%;18;8.37%;215
CENTRO-OESTE;52;GO;520357;BONOPOLIS;2;2.94%;2;2.94%;39;57.35%;14;20.59%;4;5.88%;7;10.29%;68
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;0;-;0;-;27;57.45%;14;29.79%;3;6.38%;3;6.38%;47
CENTRO-OESTE;52;GO;520380;BRITANIA;9;4.35%;5;2.42%;109;52.66%;44;21.26%;21;10.14%;19;9.18%;207
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;1;0.65%;3;1.95%;120;77.92%;22;14.29%;7;4.55%;1;0.65%;154
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;1;2.56%;0;-;22;56.41%;12;30.77%;2;5.13%;2;5.13%;39
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;3;2.68%;6;5.36%;62;55.36%;21;18.75%;9;8.04%;11;9.82%;112
CENTRO-OESTE;52;GO;520400;CABECEIRAS;10;3.47%;5;1.74%;196;68.06%;49;17.01%;19;6.6%;9;3.13%;288
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;3;2.11%;5;3.52%;90;63.38%;26;18.31%;14;9.86%;4;2.82%;142
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;0;-;45;78.95%;6;10.53%;3;5.26%;3;5.26%;57
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;7;4.22%;12;7.23%;94;56.63%;30;18.07%;16;9.64%;7;4.22%;166
CENTRO-OESTE;52;GO;520430;CACU;7;4.27%;4;2.44%;106;64.63%;18;10.98%;14;8.54%;15;9.15%;164
CENTRO-OESTE;52;GO;520440;CAIAPONIA;0;-;7;2.5%;212;75.71%;32;11.43%;16;5.71%;13;4.64%;280
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;19;3.46%;24;4.37%;359;65.39%;79;14.39%;46;8.38%;22;4.01%;549
CENTRO-OESTE;52;GO;520455;CALDAZINHA;3;3.61%;3;3.61%;47;56.63%;14;16.87%;10;12.05%;6;7.23%;83
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;1;1.05%;6;6.32%;51;53.68%;17;17.89%;8;8.42%;12;12.63%;95
CENTRO-OESTE;52;GO;520465;CAMPINACU;3;3.03%;6;6.06%;60;60.61%;21;21.21%;6;6.06%;3;3.03%;99
CENTRO-OESTE;52;GO;520470;CAMPINORTE;4;1.89%;3;1.42%;151;71.23%;31;14.62%;17;8.02%;6;2.83%;212
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;1;0.68%;5;3.38%;91;61.49%;27;18.24%;16;10.81%;8;5.41%;148
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;0;-;1;0.85%;99;84.62%;9;7.69%;5;4.27%;3;2.56%;117
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;20;2.8%;36;5.03%;508;71.05%;91;12.73%;35;4.9%;25;3.5%;715
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;5;3.42%;2;1.37%;92;63.01%;33;22.6%;9;6.16%;5;3.42%;146
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;6;4.17%;0;-;65;45.14%;21;14.58%;24;16.67%;28;19.44%;144
CENTRO-OESTE;52;GO;520505;CASTELANDIA;1;0.81%;2;1.63%;79;64.23%;20;16.26%;13;10.57%;8;6.5%;123
CENTRO-OESTE;52;GO;520510;CATALAO;11;4.07%;3;1.11%;171;63.33%;49;18.15%;20;7.41%;16;5.93%;270
CENTRO-OESTE;52;GO;520520;CATURAI;2;1.34%;3;2.01%;92;61.74%;25;16.78%;14;9.4%;13;8.72%;149
CENTRO-OESTE;52;GO;520530;CAVALCANTE;19;3.78%;24;4.77%;350;69.58%;71;14.12%;28;5.57%;11;2.19%;503
CENTRO-OESTE;52;GO;520540;CERES;7;2.73%;13;5.08%;151;58.98%;33;12.89%;26;10.16%;26;10.16%;256
CENTRO-OESTE;52;GO;520545;CEZARINA;5;3.45%;1;0.69%;81;55.86%;19;13.1%;17;11.72%;22;15.17%;145
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;3;3.57%;3;3.57%;51;60.71%;17;20.24%;5;5.95%;5;5.95%;84
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;41;3.52%;48;4.12%;770;66.09%;156;13.39%;86;7.38%;64;5.49%;1.165
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;13;3.42%;16;4.21%;258;67.89%;48;12.63%;23;6.05%;22;5.79%;380
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;4;3.31%;2;1.65%;83;68.6%;18;14.88%;6;4.96%;8;6.61%;121
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;1;3.7%;1;3.7%;14;51.85%;4;14.81%;5;18.52%;2;7.41%;27
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;10;3.86%;12;4.63%;190;73.36%;32;12.36%;10;3.86%;5;1.93%;259
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;1;0.46%;8;3.65%;146;66.67%;34;15.53%;20;9.13%;10;4.57%;219
CENTRO-OESTE;52;GO;520620;CRISTALINA;39;3.55%;56;5.1%;712;64.79%;151;13.74%;92;8.37%;49;4.46%;1.099
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;2;2.7%;1;1.35%;56;75.68%;10;13.51%;2;2.7%;3;4.05%;74
CENTRO-OESTE;52;GO;520640;CRIXAS;9;3.57%;11;4.37%;154;61.11%;41;16.27%;24;9.52%;13;5.16%;252
CENTRO-OESTE;52;GO;520650;CROMINIA;4;2.7%;2;1.35%;60;40.54%;18;12.16%;8;5.41%;56;37.84%;148
CENTRO-OESTE;52;GO;520660;CUMARI;0;-;2;4.76%;24;57.14%;9;21.43%;3;7.14%;4;9.52%;42
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;3;2.33%;4;3.1%;91;70.54%;17;13.18%;9;6.98%;5;3.88%;129
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;0;-;0;-;37;63.79%;13;22.41%;2;3.45%;6;10.34%;58
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;1;2.38%;0;-;30;71.43%;8;19.05%;1;2.38%;2;4.76%;42
CENTRO-OESTE;52;GO;520710;DIORAMA;0;-;2;3.92%;29;56.86%;14;27.45%;5;9.8%;1;1.96%;51
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;7;4.73%;5;3.38%;96;64.86%;20;13.51%;12;8.11%;8;5.41%;148
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;1;0.93%;4;3.74%;76;71.03%;14;13.08%;9;8.41%;3;2.8%;107
CENTRO-OESTE;52;GO;520735;EDEALINA;0;-;2;2.63%;51;67.11%;16;21.05%;4;5.26%;3;3.95%;76
CENTRO-OESTE;52;GO;520740;EDEIA;1;0.65%;0;-;97;62.99%;34;22.08%;16;10.39%;6;3.9%;154
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;0;-;1;1.69%;43;72.88%;9;15.25%;5;8.47%;1;1.69%;59
CENTRO-OESTE;52;GO;520753;FAINA;8;3.74%;8;3.74%;109;50.93%;35;16.36%;34;15.89%;20;9.35%;214
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;5;2.75%;3;1.65%;103;56.59%;45;24.73%;19;10.44%;7;3.85%;182
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;3;1.74%;4;2.33%;123;71.51%;18;10.47%;16;9.3%;8;4.65%;172
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;31;8.05%;27;7.01%;238;61.82%;45;11.69%;30;7.79%;14;3.64%;385
CENTRO-OESTE;52;GO;520800;FORMOSA;68;2.79%;105;4.31%;1.700;69.84%;347;14.26%;155;6.37%;59;2.42%;2.434
CENTRO-OESTE;52;GO;520810;FORMOSO;4;2.72%;4;2.72%;95;64.63%;25;17.01%;11;7.48%;8;5.44%;147
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;3;5.08%;0;-;41;69.49%;9;15.25%;2;3.39%;4;6.78%;59
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;2;1.34%;6;4.03%;110;73.83%;19;12.75%;7;4.7%;5;3.36%;149
CENTRO-OESTE;52;GO;520850;GOIANDIRA;1;1.43%;5;7.14%;45;64.29%;8;11.43%;6;8.57%;5;7.14%;70
CENTRO-OESTE;52;GO;520860;GOIANESIA;25;2.33%;29;2.71%;724;67.6%;165;15.41%;73;6.82%;55;5.14%;1.071
CENTRO-OESTE;52;GO;520870;GOIANIA;94;1.9%;125;2.52%;3.406;68.67%;753;15.18%;348;7.02%;234;4.72%;4.960
CENTRO-OESTE;52;GO;520880;GOIANIRA;23;4.62%;26;5.22%;332;66.67%;65;13.05%;32;6.43%;20;4.02%;498
CENTRO-OESTE;52;GO;520890;GOIAS;18;3.59%;12;2.4%;212;42.32%;69;13.77%;119;23.75%;71;14.17%;501
CENTRO-OESTE;52;GO;520910;GOIATUBA;15;3.28%;20;4.38%;262;57.33%;69;15.1%;48;10.5%;43;9.41%;457
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;2;1.41%;4;2.82%;97;68.31%;20;14.08%;14;9.86%;5;3.52%;142
CENTRO-OESTE;52;GO;520920;GUAPO;22;6.45%;21;6.16%;187;54.84%;54;15.84%;38;11.14%;19;5.57%;341
CENTRO-OESTE;52;GO;520929;GUARAITA;4;3.81%;5;4.76%;62;59.05%;20;19.05%;8;7.62%;6;5.71%;105
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;4;2.27%;10;5.68%;128;72.73%;21;11.93%;12;6.82%;1;0.57%;176
CENTRO-OESTE;52;GO;520945;GUARINOS;5;6.25%;1;1.25%;50;62.5%;16;20%;3;3.75%;5;6.25%;80
CENTRO-OESTE;52;GO;520960;HEITORAI;3;3.45%;2;2.3%;51;58.62%;15;17.24%;7;8.05%;9;10.34%;87
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;7;2.34%;11;3.68%;175;58.53%;40;13.38%;38;12.71%;28;9.36%;299
CENTRO-OESTE;52;GO;520980;HIDROLINA;1;1.72%;0;-;35;60.34%;13;22.41%;5;8.62%;4;6.9%;58
CENTRO-OESTE;52;GO;520990;IACIARA;38;5.17%;35;4.76%;449;61.09%;95;12.93%;66;8.98%;52;7.07%;735
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;2;1.89%;6;5.66%;77;72.64%;12;11.32%;7;6.6%;2;1.89%;106
CENTRO-OESTE;52;GO;520995;INDIARA;12;4.04%;6;2.02%;201;67.68%;34;11.45%;22;7.41%;22;7.41%;297
CENTRO-OESTE;52;GO;521000;INHUMAS;10;1.92%;17;3.27%;308;59.23%;90;17.31%;52;10%;43;8.27%;520
CENTRO-OESTE;52;GO;521010;IPAMERI;14;2.52%;20;3.6%;320;57.55%;94;16.91%;68;12.23%;40;7.19%;556
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;1;1.96%;4;7.84%;30;58.82%;5;9.8%;5;9.8%;6;11.76%;51
CENTRO-OESTE;52;GO;521020;IPORA;11;3.69%;7;2.35%;190;63.76%;51;17.11%;25;8.39%;14;4.7%;298
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;2;5.13%;3;7.69%;22;56.41%;5;12.82%;6;15.38%;1;2.56%;39
CENTRO-OESTE;52;GO;521040;ITABERAI;17;2.34%;11;1.52%;412;56.75%;151;20.8%;85;11.71%;50;6.89%;726
CENTRO-OESTE;52;GO;521056;ITAGUARI;2;2.44%;3;3.66%;54;65.85%;11;13.41%;9;10.98%;3;3.66%;82
CENTRO-OESTE;52;GO;521060;ITAGUARU;3;2.17%;3;2.17%;84;60.87%;29;21.01%;10;7.25%;9;6.52%;138
CENTRO-OESTE;52;GO;521080;ITAJA;2;1.8%;0;-;75;67.57%;18;16.22%;11;9.91%;5;4.5%;111
CENTRO-OESTE;52;GO;521090;ITAPACI;12;3.21%;6;1.6%;210;56.15%;51;13.64%;62;16.58%;33;8.82%;374
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;8;3.74%;6;2.8%;106;49.53%;43;20.09%;26;12.15%;25;11.68%;214
CENTRO-OESTE;52;GO;521120;ITAPURANGA;4;1.32%;10;3.31%;195;64.57%;41;13.58%;27;8.94%;25;8.28%;302
CENTRO-OESTE;52;GO;521130;ITARUMA;1;1.27%;1;1.27%;56;70.89%;12;15.19%;8;10.13%;1;1.27%;79
CENTRO-OESTE;52;GO;521140;ITAUCU;9;8.65%;5;4.81%;48;46.15%;12;11.54%;9;8.65%;21;20.19%;104
CENTRO-OESTE;52;GO;521150;ITUMBIARA;23;2.29%;48;4.77%;653;64.91%;156;15.51%;73;7.26%;53;5.27%;1.006
CENTRO-OESTE;52;GO;521160;IVOLANDIA;2;6.25%;0;-;15;46.88%;5;15.63%;3;9.38%;7;21.88%;32
CENTRO-OESTE;52;GO;521170;JANDAIA;3;3.57%;4;4.76%;51;60.71%;8;9.52%;14;16.67%;4;4.76%;84
CENTRO-OESTE;52;GO;521180;JARAGUA;27;3.33%;33;4.06%;540;66.5%;113;13.92%;59;7.27%;40;4.93%;812
CENTRO-OESTE;52;GO;521190;JATAI;18;1.68%;18;1.68%;788;73.71%;148;13.84%;53;4.96%;44;4.12%;1.069
CENTRO-OESTE;52;GO;521200;JAUPACI;1;2%;0;-;36;72%;7;14%;5;10%;1;2%;50
CENTRO-OESTE;52;GO;521205;JESUPOLIS;2;1.87%;2;1.87%;84;78.5%;10;9.35%;5;4.67%;4;3.74%;107
CENTRO-OESTE;52;GO;521210;JOVIANIA;1;0.76%;2;1.53%;93;70.99%;23;17.56%;6;4.58%;6;4.58%;131
CENTRO-OESTE;52;GO;521220;JUSSARA;6;2.52%;14;5.88%;123;51.68%;43;18.07%;29;12.18%;23;9.66%;238
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;2;5.56%;1;2.78%;24;66.67%;6;16.67%;1;2.78%;2;5.56%;36
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;8;3.35%;2;0.84%;106;44.35%;55;23.01%;39;16.32%;29;12.13%;239
CENTRO-OESTE;52;GO;521250;LUZIANIA;107;2.51%;147;3.44%;3.069;71.87%;590;13.82%;212;4.96%;145;3.4%;4.270
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;1;1.56%;1;1.56%;35;54.69%;14;21.88%;10;15.63%;3;4.69%;64
CENTRO-OESTE;52;GO;521270;MAMBAI;12;4.86%;6;2.43%;174;70.45%;31;12.55%;14;5.67%;10;4.05%;247
CENTRO-OESTE;52;GO;521280;MARA ROSA;4;1.8%;4;1.8%;144;64.86%;37;16.67%;20;9.01%;13;5.86%;222
CENTRO-OESTE;52;GO;521290;MARZAGAO;0;-;1;3.23%;22;70.97%;4;12.9%;1;3.23%;3;9.68%;31
CENTRO-OESTE;52;GO;521295;MATRINCHA;1;1.67%;1;1.67%;43;71.67%;10;16.67%;5;8.33%;0;-;60
CENTRO-OESTE;52;GO;521300;MAURILANDIA;1;0.29%;12;3.47%;233;67.34%;62;17.92%;24;6.94%;14;4.05%;346
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;2;2.2%;2;2.2%;64;70.33%;15;16.48%;4;4.4%;4;4.4%;91
CENTRO-OESTE;52;GO;521308;MINACU;19;3.87%;29;5.91%;313;63.75%;74;15.07%;35;7.13%;21;4.28%;491
CENTRO-OESTE;52;GO;521310;MINEIROS;23;2.57%;21;2.34%;415;46.32%;117;13.06%;151;16.85%;169;18.86%;896
CENTRO-OESTE;52;GO;521340;MOIPORA;0;-;0;-;14;58.33%;5;20.83%;4;16.67%;1;4.17%;24
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;40;11.17%;27;7.54%;215;60.06%;52;14.53%;18;5.03%;6;1.68%;358
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;1;1.79%;2;3.57%;38;67.86%;10;17.86%;4;7.14%;1;1.79%;56
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;1;0.76%;9;6.82%;93;70.45%;20;15.15%;9;6.82%;0;-;132
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;5;2.7%;9;4.86%;127;68.65%;27;14.59%;9;4.86%;8;4.32%;185
CENTRO-OESTE;52;GO;521380;MORRINHOS;23;3.72%;14;2.27%;329;53.24%;125;20.23%;69;11.17%;58;9.39%;618
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;2;3.33%;3;5%;35;58.33%;9;15%;6;10%;5;8.33%;60
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;2;2.53%;2;2.53%;38;48.1%;21;26.58%;12;15.19%;4;5.06%;79
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;3;1.07%;6;2.14%;76;27.05%;32;11.39%;40;14.23%;124;44.13%;281
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;6;3.51%;7;4.09%;111;64.91%;27;15.79%;12;7.02%;8;4.68%;171
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;4;5.19%;0;-;56;72.73%;10;12.99%;3;3.9%;4;5.19%;77
CENTRO-OESTE;52;GO;521440;NAZARIO;12;5.66%;7;3.3%;101;47.64%;48;22.64%;26;12.26%;18;8.49%;212
CENTRO-OESTE;52;GO;521450;NEROPOLIS;26;3.78%;24;3.49%;399;58.08%;132;19.21%;65;9.46%;41;5.97%;687
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;25;2.8%;27;3.02%;630;70.55%;130;14.56%;57;6.38%;24;2.69%;893
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;0;-;2;3.51%;36;63.16%;12;21.05%;6;10.53%;1;1.75%;57
CENTRO-OESTE;52;GO;521480;NOVA AURORA;0;-;0;-;27;62.79%;9;20.93%;5;11.63%;2;4.65%;43
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;11;3.54%;12;3.86%;183;58.84%;46;14.79%;42;13.5%;17;5.47%;311
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;5;2.72%;6;3.26%;125;67.93%;29;15.76%;16;8.7%;3;1.63%;184
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;2;2.22%;3;3.33%;70;77.78%;10;11.11%;3;3.33%;2;2.22%;90
CENTRO-OESTE;52;GO;521490;NOVA ROMA;4;4.21%;8;8.42%;59;62.11%;13;13.68%;5;5.26%;6;6.32%;95
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;8;3.52%;14;6.17%;137;60.35%;25;11.01%;30;13.22%;13;5.73%;227
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;2;3.45%;1;1.72%;38;65.52%;10;17.24%;5;8.62%;2;3.45%;58
CENTRO-OESTE;52;GO;521523;NOVO GAMA;87;4.18%;86;4.13%;1.430;68.68%;263;12.63%;127;6.1%;89;4.27%;2.082
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;3;2.5%;8;6.67%;72;60%;24;20%;8;6.67%;5;4.17%;120
CENTRO-OESTE;52;GO;521530;ORIZONA;8;3.94%;3;1.48%;87;42.86%;41;20.2%;38;18.72%;26;12.81%;203
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;0;-;2;3.03%;51;77.27%;8;12.12%;1;1.52%;4;6.06%;66
CENTRO-OESTE;52;GO;521550;OUVIDOR;1;1.28%;1;1.28%;46;58.97%;15;19.23%;10;12.82%;5;6.41%;78
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;9;1.29%;18;2.58%;468;66.95%;117;16.74%;64;9.16%;23;3.29%;699
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;0;-;2;3.03%;36;54.55%;19;28.79%;5;7.58%;4;6.06%;66
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;3;0.7%;7;1.64%;219;51.17%;78;18.22%;62;14.49%;59;13.79%;428
CENTRO-OESTE;52;GO;521580;PALMELO;0;-;0;-;25;65.79%;7;18.42%;4;10.53%;2;5.26%;38
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;0;-;4;5.48%;40;54.79%;16;21.92%;5;6.85%;8;10.96%;73
CENTRO-OESTE;52;GO;521600;PANAMA;0;-;0;-;38;50.67%;11;14.67%;16;21.33%;10;13.33%;75
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;1;1.33%;1;1.33%;52;69.33%;13;17.33%;3;4%;5;6.67%;75
CENTRO-OESTE;52;GO;521640;PARAUNA;4;1.7%;6;2.55%;149;63.4%;41;17.45%;26;11.06%;9;3.83%;235
CENTRO-OESTE;52;GO;521645;PEROLANDIA;1;2.13%;2;4.26%;28;59.57%;11;23.4%;5;10.64%;0;-;47
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;4;1.05%;11;2.88%;243;63.61%;64;16.75%;39;10.21%;21;5.5%;382
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;2;7.41%;1;3.7%;16;59.26%;5;18.52%;1;3.7%;2;7.41%;27
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;4;0.93%;14;3.25%;257;59.63%;79;18.33%;46;10.67%;31;7.19%;431
CENTRO-OESTE;52;GO;521720;PIRANHAS;3;1.21%;5;2.02%;152;61.29%;46;18.55%;22;8.87%;20;8.06%;248
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;10;1.98%;15;2.97%;360;71.29%;65;12.87%;32;6.34%;23;4.55%;505
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;17;5.17%;16;4.86%;146;44.38%;60;18.24%;50;15.2%;40;12.16%;329
CENTRO-OESTE;52;GO;521760;PLANALTINA;67;4.36%;62;4.03%;987;64.17%;243;15.8%;96;6.24%;83;5.4%;1.538
CENTRO-OESTE;52;GO;521770;PONTALINA;11;2.72%;17;4.2%;252;62.22%;71;17.53%;31;7.65%;23;5.68%;405
