Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;3;2.97%;3;2.97%;34;33.66%;9;8.91%;27;26.73%;25;24.75%;101
CENTRO-OESTE;52;GO;520310;BALIZA;1;1.16%;2;2.33%;45;52.33%;15;17.44%;13;15.12%;10;11.63%;86
CENTRO-OESTE;52;GO;520320;BARRO ALTO;0;-;0;-;1;33.33%;2;66.67%;0;-;0;-;3
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;8;2.47%;8;2.47%;181;55.86%;62;19.14%;37;11.42%;28;8.64%;324
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;0;-;0;-;20;76.92%;2;7.69%;3;11.54%;1;3.85%;26
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;4;1.63%;16;6.5%;159;64.63%;25;10.16%;25;10.16%;17;6.91%;246
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;1;2.7%;2;5.41%;21;56.76%;3;8.11%;7;18.92%;3;8.11%;37
CENTRO-OESTE;52;GO;520357;BONOPOLIS;0;-;1;4%;16;64%;6;24%;1;4%;1;4%;25
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;2;2.17%;4;4.35%;60;65.22%;15;16.3%;3;3.26%;8;8.7%;92
CENTRO-OESTE;52;GO;520380;BRITANIA;0;-;0;-;13;68.42%;3;15.79%;2;10.53%;1;5.26%;19
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;1;3.33%;0;-;23;76.67%;0;-;6;20%;0;-;30
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;0;-;0;-;6;100%;0;-;0;-;0;-;6
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;0;-;2;3.51%;36;63.16%;10;17.54%;7;12.28%;2;3.51%;57
CENTRO-OESTE;52;GO;520400;CABECEIRAS;7;2.46%;5;1.76%;181;63.73%;50;17.61%;20;7.04%;21;7.39%;284
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;1;0.78%;4;3.1%;86;66.67%;14;10.85%;18;13.95%;6;4.65%;129
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;0;-;29;72.5%;5;12.5%;6;15%;0;-;40
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;2;2.41%;4;4.82%;52;62.65%;10;12.05%;8;9.64%;7;8.43%;83
CENTRO-OESTE;52;GO;520430;CACU;2;2.2%;2;2.2%;55;60.44%;14;15.38%;10;10.99%;8;8.79%;91
CENTRO-OESTE;52;GO;520440;CAIAPONIA;2;2.13%;1;1.06%;66;70.21%;14;14.89%;4;4.26%;7;7.45%;94
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;0;-;6;3.7%;89;54.94%;37;22.84%;17;10.49%;13;8.02%;162
CENTRO-OESTE;52;GO;520455;CALDAZINHA;1;1.35%;0;-;49;66.22%;15;20.27%;6;8.11%;3;4.05%;74
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;2;1.75%;8;7.02%;87;76.32%;10;8.77%;4;3.51%;3;2.63%;114
CENTRO-OESTE;52;GO;520465;CAMPINACU;0;-;1;5.56%;12;66.67%;2;11.11%;1;5.56%;2;11.11%;18
CENTRO-OESTE;52;GO;520470;CAMPINORTE;1;1.16%;4;4.65%;59;68.6%;13;15.12%;7;8.14%;2;2.33%;86
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;0;-;0;-;22;48.89%;11;24.44%;6;13.33%;6;13.33%;45
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;0;-;0;-;0;-;1;33.33%;0;-;2;66.67%;3
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;23;3.74%;24;3.9%;400;65.04%;103;16.75%;40;6.5%;25;4.07%;615
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;3;3.57%;2;2.38%;48;57.14%;16;19.05%;8;9.52%;7;8.33%;84
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;2;2.2%;2;2.2%;47;51.65%;13;14.29%;12;13.19%;15;16.48%;91
CENTRO-OESTE;52;GO;520505;CASTELANDIA;0;-;1;14.29%;4;57.14%;1;14.29%;0;-;1;14.29%;7
CENTRO-OESTE;52;GO;520510;CATALAO;5;1.86%;6;2.23%;184;68.4%;40;14.87%;16;5.95%;18;6.69%;269
CENTRO-OESTE;52;GO;520520;CATURAI;0;-;3;2.34%;97;75.78%;8;6.25%;14;10.94%;6;4.69%;128
CENTRO-OESTE;52;GO;520530;CAVALCANTE;2;2.9%;4;5.8%;53;76.81%;5;7.25%;2;2.9%;3;4.35%;69
CENTRO-OESTE;52;GO;520540;CERES;3;2.42%;2;1.61%;83;66.94%;15;12.1%;13;10.48%;8;6.45%;124
CENTRO-OESTE;52;GO;520545;CEZARINA;0;-;0;-;5;100%;0;-;0;-;0;-;5
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;4;1.21%;5;1.52%;201;60.91%;72;21.82%;32;9.7%;16;4.85%;330
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;20;1.79%;42;3.76%;627;56.08%;139;12.43%;68;6.08%;222;19.86%;1.118
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;1;8.33%;0;-;5;41.67%;2;16.67%;3;25%;1;8.33%;12
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;0;-;1;5%;12;60%;2;10%;4;20%;1;5%;20
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;0;-;0;-;1;33.33%;0;-;1;33.33%;1;33.33%;3
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;1;3.23%;0;-;19;61.29%;7;22.58%;1;3.23%;3;9.68%;31
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;0;-;2;1.46%;38;27.74%;30;21.9%;40;29.2%;27;19.71%;137
CENTRO-OESTE;52;GO;520620;CRISTALINA;18;1.42%;59;4.65%;871;68.69%;201;15.85%;82;6.47%;37;2.92%;1.268
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;0;-;1;12.5%;4;50%;1;12.5%;1;12.5%;1;12.5%;8
CENTRO-OESTE;52;GO;520640;CRIXAS;8;3.49%;10;4.37%;134;58.52%;35;15.28%;23;10.04%;19;8.3%;229
CENTRO-OESTE;52;GO;520650;CROMINIA;3;2.88%;4;3.85%;61;58.65%;15;14.42%;19;18.27%;2;1.92%;104
CENTRO-OESTE;52;GO;520660;CUMARI;0;-;0;-;4;66.67%;0;-;1;16.67%;1;16.67%;6
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;0;-;0;-;1;50%;1;50%;0;-;0;-;2
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;1;1.28%;0;-;50;64.1%;14;17.95%;8;10.26%;5;6.41%;78
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;1;3.33%;1;3.33%;14;46.67%;5;16.67%;6;20%;3;10%;30
CENTRO-OESTE;52;GO;520710;DIORAMA;2;4.17%;1;2.08%;28;58.33%;4;8.33%;10;20.83%;3;6.25%;48
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;0;-;1;3.57%;21;75%;3;10.71%;2;7.14%;1;3.57%;28
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;0;-;1;1.19%;57;67.86%;16;19.05%;7;8.33%;3;3.57%;84
CENTRO-OESTE;52;GO;520735;EDEALINA;0;-;0;-;6;50%;0;-;1;8.33%;5;41.67%;12
CENTRO-OESTE;52;GO;520740;EDEIA;0;-;4;4%;67;67%;16;16%;6;6%;7;7%;100
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;2;4.55%;0;-;28;63.64%;9;20.45%;3;6.82%;2;4.55%;44
CENTRO-OESTE;52;GO;520753;FAINA;4;3.25%;7;5.69%;65;52.85%;31;25.2%;11;8.94%;5;4.07%;123
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;0;-;0;-;38;64.41%;10;16.95%;7;11.86%;4;6.78%;59
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;0;-;1;6.25%;5;31.25%;2;12.5%;3;18.75%;5;31.25%;16
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;11;3.99%;20;7.25%;181;65.58%;48;17.39%;12;4.35%;4;1.45%;276
CENTRO-OESTE;52;GO;520800;FORMOSA;8;4.73%;9;5.33%;118;69.82%;25;14.79%;4;2.37%;5;2.96%;169
CENTRO-OESTE;52;GO;520810;FORMOSO;1;0.94%;1;0.94%;53;50%;28;26.42%;14;13.21%;9;8.49%;106
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;1;1.82%;1;1.82%;31;56.36%;13;23.64%;6;10.91%;3;5.45%;55
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;1;1.05%;1;1.05%;69;72.63%;13;13.68%;4;4.21%;7;7.37%;95
CENTRO-OESTE;52;GO;520850;GOIANDIRA;0;-;5;2.79%;105;58.66%;35;19.55%;21;11.73%;13;7.26%;179
CENTRO-OESTE;52;GO;520860;GOIANESIA;4;2.33%;7;4.07%;106;61.63%;26;15.12%;15;8.72%;14;8.14%;172
CENTRO-OESTE;52;GO;520870;GOIANIA;80;1.89%;86;2.03%;2.311;54.59%;610;14.41%;596;14.08%;550;12.99%;4.233
CENTRO-OESTE;52;GO;520880;GOIANIRA;5;1.39%;19;5.28%;222;61.67%;56;15.56%;30;8.33%;28;7.78%;360
CENTRO-OESTE;52;GO;520890;GOIAS;1;0.5%;7;3.5%;126;63%;42;21%;16;8%;8;4%;200
CENTRO-OESTE;52;GO;520910;GOIATUBA;3;1.08%;10;3.58%;193;69.18%;42;15.05%;20;7.17%;11;3.94%;279
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;1;4.17%;2;8.33%;15;62.5%;3;12.5%;3;12.5%;0;-;24
CENTRO-OESTE;52;GO;520920;GUAPO;13;2.11%;19;3.09%;443;72.03%;64;10.41%;38;6.18%;38;6.18%;615
CENTRO-OESTE;52;GO;520929;GUARAITA;2;6.45%;1;3.23%;24;77.42%;2;6.45%;2;6.45%;0;-;31
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;3;6.25%;3;6.25%;30;62.5%;7;14.58%;3;6.25%;2;4.17%;48
CENTRO-OESTE;52;GO;520945;GUARINOS;2;2.7%;2;2.7%;39;52.7%;20;27.03%;6;8.11%;5;6.76%;74
CENTRO-OESTE;52;GO;520960;HEITORAI;2;2.94%;5;7.35%;35;51.47%;11;16.18%;8;11.76%;7;10.29%;68
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;1;0.72%;3;2.17%;88;63.77%;23;16.67%;14;10.14%;9;6.52%;138
CENTRO-OESTE;52;GO;520980;HIDROLINA;0;-;1;2.17%;30;65.22%;8;17.39%;4;8.7%;3;6.52%;46
CENTRO-OESTE;52;GO;520990;IACIARA;4;2.31%;7;4.05%;119;68.79%;22;12.72%;14;8.09%;7;4.05%;173
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;0;-;1;1.41%;46;64.79%;11;15.49%;10;14.08%;3;4.23%;71
CENTRO-OESTE;52;GO;520995;INDIARA;0;-;1;6.25%;10;62.5%;2;12.5%;2;12.5%;1;6.25%;16
CENTRO-OESTE;52;GO;521000;INHUMAS;5;1.33%;9;2.4%;206;54.93%;59;15.73%;59;15.73%;37;9.87%;375
CENTRO-OESTE;52;GO;521010;IPAMERI;10;3.68%;11;4.04%;175;64.34%;33;12.13%;25;9.19%;18;6.62%;272
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;0;-;0;-;4;66.67%;2;33.33%;0;-;0;-;6
CENTRO-OESTE;52;GO;521020;IPORA;13;4.81%;8;2.96%;195;72.22%;26;9.63%;16;5.93%;12;4.44%;270
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;1;1.45%;3;4.35%;43;62.32%;13;18.84%;7;10.14%;2;2.9%;69
CENTRO-OESTE;52;GO;521040;ITABERAI;11;2.55%;25;5.8%;228;52.9%;86;19.95%;54;12.53%;27;6.26%;431
CENTRO-OESTE;52;GO;521056;ITAGUARI;2;2.47%;2;2.47%;46;56.79%;15;18.52%;10;12.35%;6;7.41%;81
CENTRO-OESTE;52;GO;521060;ITAGUARU;1;1.01%;2;2.02%;64;64.65%;22;22.22%;4;4.04%;6;6.06%;99
CENTRO-OESTE;52;GO;521080;ITAJA;0;-;1;5.88%;8;47.06%;5;29.41%;2;11.76%;1;5.88%;17
CENTRO-OESTE;52;GO;521090;ITAPACI;4;2.63%;7;4.61%;71;46.71%;33;21.71%;20;13.16%;17;11.18%;152
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;0;-;0;-;29;76.32%;5;13.16%;2;5.26%;2;5.26%;38
CENTRO-OESTE;52;GO;521120;ITAPURANGA;1;0.99%;3;2.97%;59;58.42%;8;7.92%;12;11.88%;18;17.82%;101
CENTRO-OESTE;52;GO;521130;ITARUMA;0;-;0;-;2;100%;0;-;0;-;0;-;2
CENTRO-OESTE;52;GO;521140;ITAUCU;3;9.09%;3;9.09%;18;54.55%;3;9.09%;4;12.12%;2;6.06%;33
CENTRO-OESTE;52;GO;521150;ITUMBIARA;27;3.54%;38;4.99%;407;53.41%;139;18.24%;91;11.94%;60;7.87%;762
CENTRO-OESTE;52;GO;521160;IVOLANDIA;0;-;0;-;26;60.47%;7;16.28%;5;11.63%;5;11.63%;43
CENTRO-OESTE;52;GO;521170;JANDAIA;0;-;0;-;35;57.38%;17;27.87%;5;8.2%;4;6.56%;61
CENTRO-OESTE;52;GO;521180;JARAGUA;10;4.07%;7;2.85%;138;56.1%;48;19.51%;28;11.38%;15;6.1%;246
CENTRO-OESTE;52;GO;521190;JATAI;2;0.44%;15;3.3%;317;69.82%;60;13.22%;34;7.49%;26;5.73%;454
CENTRO-OESTE;52;GO;521200;JAUPACI;0;-;0;-;0;-;0;-;0;-;0;-;0
CENTRO-OESTE;52;GO;521205;JESUPOLIS;0;-;3;5.36%;40;71.43%;5;8.93%;2;3.57%;6;10.71%;56
CENTRO-OESTE;52;GO;521210;JOVIANIA;0;-;0;-;3;75%;1;25%;0;-;0;-;4
CENTRO-OESTE;52;GO;521220;JUSSARA;3;3.41%;1;1.14%;47;53.41%;17;19.32%;9;10.23%;11;12.5%;88
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;2;5%;6;15%;25;62.5%;3;7.5%;2;5%;2;5%;40
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;2;0.98%;3;1.46%;94;45.85%;45;21.95%;37;18.05%;24;11.71%;205
CENTRO-OESTE;52;GO;521250;LUZIANIA;43;1.95%;88;3.99%;1.594;72.29%;266;12.06%;141;6.39%;73;3.31%;2.205
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;0;-;0;-;5;50%;3;30%;2;20%;0;-;10
CENTRO-OESTE;52;GO;521270;MAMBAI;5;2.65%;7;3.7%;120;63.49%;54;28.57%;3;1.59%;0;-;189
CENTRO-OESTE;52;GO;521280;MARA ROSA;8;6.02%;6;4.51%;84;63.16%;24;18.05%;6;4.51%;5;3.76%;133
CENTRO-OESTE;52;GO;521290;MARZAGAO;0;-;1;2.78%;23;63.89%;5;13.89%;6;16.67%;1;2.78%;36
CENTRO-OESTE;52;GO;521295;MATRINCHA;0;-;2;2.86%;45;64.29%;14;20%;6;8.57%;3;4.29%;70
CENTRO-OESTE;52;GO;521300;MAURILANDIA;5;4.17%;5;4.17%;80;66.67%;16;13.33%;9;7.5%;5;4.17%;120
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;1;1.56%;0;-;25;39.06%;4;6.25%;4;6.25%;30;46.88%;64
CENTRO-OESTE;52;GO;521308;MINACU;13;3.55%;11;3.01%;223;60.93%;62;16.94%;40;10.93%;17;4.64%;366
CENTRO-OESTE;52;GO;521310;MINEIROS;26;2.68%;44;4.54%;642;66.19%;140;14.43%;79;8.14%;39;4.02%;970
CENTRO-OESTE;52;GO;521340;MOIPORA;0;-;1;5%;9;45%;3;15%;6;30%;1;5%;20
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;2;1.87%;5;4.67%;75;70.09%;9;8.41%;11;10.28%;5;4.67%;107
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;0;-;4;4.3%;57;61.29%;18;19.35%;8;8.6%;6;6.45%;93
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;2;28.57%;1;14.29%;3;42.86%;0;-;0;-;1;14.29%;7
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;2;1.59%;8;6.35%;73;57.94%;27;21.43%;13;10.32%;3;2.38%;126
CENTRO-OESTE;52;GO;521380;MORRINHOS;7;2.39%;12;4.1%;154;52.56%;56;19.11%;27;9.22%;37;12.63%;293
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;0;-;0;-;1;50%;1;50%;0;-;0;-;2
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;0;-;1;3.23%;19;61.29%;7;22.58%;2;6.45%;2;6.45%;31
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;4;1.93%;17;8.21%;106;51.21%;35;16.91%;30;14.49%;15;7.25%;207
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;1;0.43%;7;3%;158;67.81%;37;15.88%;20;8.58%;10;4.29%;233
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;0;-;1;4.35%;19;82.61%;1;4.35%;0;-;2;8.7%;23
CENTRO-OESTE;52;GO;521440;NAZARIO;1;12.5%;1;12.5%;3;37.5%;1;12.5%;1;12.5%;1;12.5%;8
CENTRO-OESTE;52;GO;521450;NEROPOLIS;0;-;0;-;32;52.46%;10;16.39%;11;18.03%;8;13.11%;61
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;3;2.61%;4;3.48%;85;73.91%;15;13.04%;5;4.35%;3;2.61%;115
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;1;2.63%;2;5.26%;22;57.89%;8;21.05%;4;10.53%;1;2.63%;38
CENTRO-OESTE;52;GO;521480;NOVA AURORA;0;-;2;3.03%;42;63.64%;9;13.64%;9;13.64%;4;6.06%;66
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;4;2.86%;1;0.71%;78;55.71%;26;18.57%;19;13.57%;12;8.57%;140
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;1;0.57%;6;3.45%;120;68.97%;25;14.37%;14;8.05%;8;4.6%;174
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;1;1.23%;5;6.17%;55;67.9%;10;12.35%;6;7.41%;4;4.94%;81
CENTRO-OESTE;52;GO;521490;NOVA ROMA;4;4.04%;6;6.06%;56;56.57%;15;15.15%;7;7.07%;11;11.11%;99
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;7;2.22%;25;7.94%;196;62.22%;43;13.65%;26;8.25%;18;5.71%;315
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;0;-;0;-;2;100%;0;-;0;-;0;-;2
CENTRO-OESTE;52;GO;521523;NOVO GAMA;4;4.26%;1;1.06%;57;60.64%;11;11.7%;13;13.83%;8;8.51%;94
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;0;-;0;-;21;65.63%;5;15.63%;3;9.38%;3;9.38%;32
CENTRO-OESTE;52;GO;521530;ORIZONA;5;2.55%;6;3.06%;110;56.12%;38;19.39%;26;13.27%;11;5.61%;196
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;0;-;0;-;0;-;0;-;0;-;0;-;0
CENTRO-OESTE;52;GO;521550;OUVIDOR;0;-;1;0.88%;69;60.53%;20;17.54%;14;12.28%;10;8.77%;114
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;3;4.84%;0;-;35;56.45%;11;17.74%;8;12.9%;5;8.06%;62
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;0;-;0;-;26;65%;5;12.5%;3;7.5%;6;15%;40
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;2;1.57%;7;5.51%;80;62.99%;15;11.81%;12;9.45%;11;8.66%;127
CENTRO-OESTE;52;GO;521580;PALMELO;2;8%;0;-;17;68%;1;4%;3;12%;2;8%;25
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;1;2.5%;2;5%;28;70%;6;15%;2;5%;1;2.5%;40
CENTRO-OESTE;52;GO;521600;PANAMA;5;12.2%;1;2.44%;21;51.22%;6;14.63%;2;4.88%;6;14.63%;41
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;1;3.23%;2;6.45%;17;54.84%;1;3.23%;6;19.35%;4;12.9%;31
CENTRO-OESTE;52;GO;521640;PARAUNA;1;0.55%;6;3.3%;113;62.09%;25;13.74%;27;14.84%;10;5.49%;182
CENTRO-OESTE;52;GO;521645;PEROLANDIA;0;-;0;-;3;75%;1;25%;0;-;0;-;4
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;4;5.41%;2;2.7%;48;64.86%;13;17.57%;4;5.41%;3;4.05%;74
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;2;3.51%;3;5.26%;25;43.86%;24;42.11%;2;3.51%;1;1.75%;57
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;4;3.13%;3;2.34%;59;46.09%;28;21.88%;17;13.28%;17;13.28%;128
CENTRO-OESTE;52;GO;521720;PIRANHAS;0;-;0;-;47;71.21%;7;10.61%;4;6.06%;8;12.12%;66
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;11;2.11%;15;2.88%;321;61.61%;92;17.66%;53;10.17%;29;5.57%;521
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;10;2.07%;17;3.53%;259;53.73%;93;19.29%;60;12.45%;43;8.92%;482
CENTRO-OESTE;52;GO;521760;PLANALTINA;8;3.23%;7;2.82%;148;59.68%;38;15.32%;29;11.69%;18;7.26%;248
CENTRO-OESTE;52;GO;521770;PONTALINA;0;-;1;2.04%;23;46.94%;5;10.2%;10;20.41%;10;20.41%;49
CENTRO-OESTE;52;GO;521800;PORANGATU;1;0.66%;1;0.66%;105;69.08%;26;17.11%;13;8.55%;6;3.95%;152
CENTRO-OESTE;52;GO;521805;PORTEIRAO;0;-;0;-;0;-;0;-;0;-;1;100%;1
CENTRO-OESTE;52;GO;521810;PORTELANDIA;0;-;1;8.33%;8;66.67%;2;16.67%;0;-;1;8.33%;12
CENTRO-OESTE;52;GO;521830;POSSE;17;3.86%;31;7.05%;274;62.27%;61;13.86%;32;7.27%;25;5.68%;440
CENTRO-OESTE;52;GO;521839;PROFESSOR JAMIL;2;1.63%;4;3.25%;69;56.1%;22;17.89%;16;13.01%;10;8.13%;123
CENTRO-OESTE;52;GO;521850;QUIRINOPOLIS;1;0.24%;2;0.47%;34;8%;32;7.53%;232;54.59%;124;29.18%;425
CENTRO-OESTE;52;GO;521860;RIALMA;4;3.01%;5;3.76%;85;63.91%;20;15.04%;9;6.77%;10;7.52%;133
