Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
CENTRO-OESTE;52;GO;520260;AURILANDIA;4;2.84%;7;4.96%;90;63.83%;18;12.77%;14;9.93%;8;5.67%;141
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;5;4.13%;5;4.13%;65;53.72%;26;21.49%;9;7.44%;11;9.09%;121
CENTRO-OESTE;52;GO;520310;BALIZA;6;5.22%;3;2.61%;75;65.22%;16;13.91%;14;12.17%;1;0.87%;115
CENTRO-OESTE;52;GO;520320;BARRO ALTO;4;1.53%;7;2.67%;196;74.81%;30;11.45%;15;5.73%;10;3.82%;262
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;18;2.58%;8;1.14%;477;68.24%;89;12.73%;67;9.59%;40;5.72%;699
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;4;1.53%;9;3.45%;174;66.67%;37;14.18%;23;8.81%;14;5.36%;261
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;13;3.1%;14;3.34%;256;61.1%;80;19.09%;41;9.79%;15;3.58%;419
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;2;0.62%;12;3.74%;208;64.8%;62;19.31%;25;7.79%;12;3.74%;321
CENTRO-OESTE;52;GO;520357;BONOPOLIS;5;2.79%;11;6.15%;127;70.95%;23;12.85%;11;6.15%;2;1.12%;179
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;0;-;5;2.99%;120;71.86%;19;11.38%;13;7.78%;10;5.99%;167
CENTRO-OESTE;52;GO;520380;BRITANIA;4;1.95%;5;2.44%;131;63.9%;36;17.56%;21;10.24%;8;3.9%;205
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;2;1.33%;6;4%;102;68%;26;17.33%;11;7.33%;3;2%;150
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;1;1.35%;3;4.05%;45;60.81%;11;14.86%;5;6.76%;9;12.16%;74
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;4;2.92%;3;2.19%;83;60.58%;18;13.14%;14;10.22%;15;10.95%;137
CENTRO-OESTE;52;GO;520400;CABECEIRAS;3;0.98%;25;8.17%;179;58.5%;55;17.97%;27;8.82%;17;5.56%;306
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;1;0.25%;12;2.94%;248;60.78%;57;13.97%;48;11.76%;42;10.29%;408
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;0;-;36;73.47%;6;12.24%;6;12.24%;1;2.04%;49
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;4;1.97%;14;6.9%;119;58.62%;29;14.29%;19;9.36%;18;8.87%;203
CENTRO-OESTE;52;GO;520430;CACU;2;0.77%;4;1.54%;164;63.08%;47;18.08%;23;8.85%;20;7.69%;260
CENTRO-OESTE;52;GO;520440;CAIAPONIA;1;0.27%;2;0.53%;259;68.88%;88;23.4%;16;4.26%;10;2.66%;376
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;15;1.88%;29;3.64%;547;68.72%;114;14.32%;60;7.54%;31;3.89%;796
CENTRO-OESTE;52;GO;520455;CALDAZINHA;2;1.2%;4;2.41%;103;62.05%;35;21.08%;15;9.04%;7;4.22%;166
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;2;1.01%;7;3.52%;116;58.29%;42;21.11%;22;11.06%;10;5.03%;199
CENTRO-OESTE;52;GO;520465;CAMPINACU;2;1.24%;4;2.48%;109;67.7%;34;21.12%;8;4.97%;4;2.48%;161
CENTRO-OESTE;52;GO;520470;CAMPINORTE;4;1.22%;7;2.13%;232;70.73%;47;14.33%;25;7.62%;13;3.96%;328
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;1;1.45%;1;1.45%;38;55.07%;16;23.19%;8;11.59%;5;7.25%;69
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;1;0.47%;4;1.9%;158;74.88%;27;12.8%;13;6.16%;8;3.79%;211
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;13;1.6%;43;5.29%;591;72.69%;114;14.02%;42;5.17%;10;1.23%;813
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;1;0.7%;4;2.8%;107;74.83%;19;13.29%;9;6.29%;3;2.1%;143
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;6;1.99%;12;3.97%;157;51.99%;66;21.85%;35;11.59%;26;8.61%;302
CENTRO-OESTE;52;GO;520505;CASTELANDIA;0;-;2;1.72%;85;73.28%;15;12.93%;10;8.62%;4;3.45%;116
CENTRO-OESTE;52;GO;520510;CATALAO;6;0.54%;32;2.88%;750;67.45%;173;15.56%;96;8.63%;55;4.95%;1.112
CENTRO-OESTE;52;GO;520520;CATURAI;3;1.23%;4;1.64%;160;65.57%;33;13.52%;22;9.02%;22;9.02%;244
CENTRO-OESTE;52;GO;520530;CAVALCANTE;15;4.89%;16;5.21%;229;74.59%;22;7.17%;14;4.56%;11;3.58%;307
CENTRO-OESTE;52;GO;520540;CERES;8;2.71%;8;2.71%;188;63.73%;48;16.27%;32;10.85%;11;3.73%;295
CENTRO-OESTE;52;GO;520545;CEZARINA;1;2.22%;0;-;25;55.56%;11;24.44%;6;13.33%;2;4.44%;45
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;3;0.71%;4;0.94%;293;68.94%;79;18.59%;31;7.29%;15;3.53%;425
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;39;2.7%;44;3.05%;1.025;71.08%;185;12.83%;96;6.66%;53;3.68%;1.442
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;14;3.27%;24;5.61%;278;64.95%;65;15.19%;30;7.01%;17;3.97%;428
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;7;2.6%;5;1.86%;190;70.63%;44;16.36%;15;5.58%;8;2.97%;269
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;0;-;1;1.75%;33;57.89%;16;28.07%;3;5.26%;4;7.02%;57
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;5;2.56%;10;5.13%;121;62.05%;36;18.46%;14;7.18%;9;4.62%;195
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;3;0.87%;11;3.2%;210;61.05%;55;15.99%;51;14.83%;14;4.07%;344
CENTRO-OESTE;52;GO;520620;CRISTALINA;26;2.06%;65;5.16%;888;70.48%;147;11.67%;84;6.67%;50;3.97%;1.260
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;1;1.22%;4;4.88%;57;69.51%;10;12.2%;8;9.76%;2;2.44%;82
CENTRO-OESTE;52;GO;520640;CRIXAS;11;3.65%;12;3.99%;167;55.48%;58;19.27%;30;9.97%;23;7.64%;301
CENTRO-OESTE;52;GO;520650;CROMINIA;3;1.76%;1;0.59%;100;58.82%;32;18.82%;28;16.47%;6;3.53%;170
CENTRO-OESTE;52;GO;520660;CUMARI;0;-;0;-;15;51.72%;4;13.79%;6;20.69%;4;13.79%;29
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;6;4.35%;3;2.17%;97;70.29%;14;10.14%;9;6.52%;9;6.52%;138
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;1;1.1%;3;3.3%;55;60.44%;15;16.48%;13;14.29%;4;4.4%;91
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;0;-;0;-;35;58.33%;14;23.33%;9;15%;2;3.33%;60
CENTRO-OESTE;52;GO;520710;DIORAMA;0;-;2;2.02%;64;64.65%;15;15.15%;14;14.14%;4;4.04%;99
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;6;3.3%;13;7.14%;104;57.14%;35;19.23%;13;7.14%;11;6.04%;182
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;0;-;7;3.89%;109;60.56%;32;17.78%;22;12.22%;10;5.56%;180
CENTRO-OESTE;52;GO;520735;EDEALINA;2;0.86%;6;2.59%;145;62.5%;43;18.53%;26;11.21%;10;4.31%;232
CENTRO-OESTE;52;GO;520740;EDEIA;1;0.25%;5;1.27%;271;68.78%;74;18.78%;23;5.84%;20;5.08%;394
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;0;-;4;4.17%;65;67.71%;16;16.67%;7;7.29%;4;4.17%;96
CENTRO-OESTE;52;GO;520753;FAINA;4;2.27%;5;2.84%;90;51.14%;40;22.73%;26;14.77%;11;6.25%;176
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;4;2.05%;1;0.51%;127;65.13%;32;16.41%;19;9.74%;12;6.15%;195
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;1;0.42%;10;4.22%;150;63.29%;35;14.77%;24;10.13%;17;7.17%;237
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;8;2.06%;18;4.64%;267;68.81%;58;14.95%;22;5.67%;15;3.87%;388
CENTRO-OESTE;52;GO;520800;FORMOSA;42;1.71%;105;4.27%;1.736;70.57%;362;14.72%;156;6.34%;59;2.4%;2.460
CENTRO-OESTE;52;GO;520810;FORMOSO;2;1.13%;6;3.39%;118;66.67%;30;16.95%;14;7.91%;7;3.95%;177
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;2;1.74%;3;2.61%;76;66.09%;19;16.52%;11;9.57%;4;3.48%;115
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;4;1.34%;4;1.34%;214;71.57%;45;15.05%;11;3.68%;21;7.02%;299
CENTRO-OESTE;52;GO;520850;GOIANDIRA;0;-;2;2.15%;54;58.06%;18;19.35%;10;10.75%;9;9.68%;93
CENTRO-OESTE;52;GO;520860;GOIANESIA;13;0.6%;55;2.54%;1.456;67.31%;350;16.18%;200;9.25%;89;4.11%;2.163
CENTRO-OESTE;52;GO;520870;GOIANIA;74;3.2%;65;2.81%;1.478;63.84%;386;16.67%;179;7.73%;133;5.75%;2.315
CENTRO-OESTE;52;GO;520880;GOIANIRA;26;1.05%;82;3.32%;1.709;69.16%;362;14.65%;199;8.05%;93;3.76%;2.471
CENTRO-OESTE;52;GO;520890;GOIAS;9;2.09%;7;1.63%;234;54.42%;95;22.09%;57;13.26%;28;6.51%;430
CENTRO-OESTE;52;GO;520910;GOIATUBA;7;1.19%;14;2.39%;405;68.99%;98;16.7%;40;6.81%;23;3.92%;587
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;1;0.38%;4;1.53%;171;65.52%;45;17.24%;28;10.73%;12;4.6%;261
CENTRO-OESTE;52;GO;520920;GUAPO;13;2.94%;16;3.62%;264;59.73%;61;13.8%;59;13.35%;29;6.56%;442
CENTRO-OESTE;52;GO;520929;GUARAITA;2;3.23%;3;4.84%;41;66.13%;9;14.52%;5;8.06%;2;3.23%;62
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;3;1.19%;4;1.59%;179;71.03%;43;17.06%;18;7.14%;5;1.98%;252
CENTRO-OESTE;52;GO;520945;GUARINOS;1;1%;1;1%;65;65%;15;15%;15;15%;3;3%;100
CENTRO-OESTE;52;GO;520960;HEITORAI;2;1.16%;1;0.58%;100;58.14%;33;19.19%;20;11.63%;16;9.3%;172
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;9;1.63%;15;2.72%;366;66.42%;81;14.7%;46;8.35%;34;6.17%;551
CENTRO-OESTE;52;GO;520980;HIDROLINA;1;0.95%;3;2.86%;69;65.71%;20;19.05%;9;8.57%;3;2.86%;105
CENTRO-OESTE;52;GO;520990;IACIARA;19;3.24%;21;3.58%;406;69.28%;87;14.85%;33;5.63%;20;3.41%;586
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;1;0.39%;3;1.17%;150;58.37%;59;22.96%;27;10.51%;17;6.61%;257
CENTRO-OESTE;52;GO;520995;INDIARA;10;2.16%;14;3.03%;308;66.67%;77;16.67%;33;7.14%;20;4.33%;462
CENTRO-OESTE;52;GO;521000;INHUMAS;25;1.66%;49;3.25%;968;64.11%;256;16.95%;150;9.93%;62;4.11%;1.510
CENTRO-OESTE;52;GO;521010;IPAMERI;5;0.99%;17;3.36%;330;65.22%;77;15.22%;45;8.89%;32;6.32%;506
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;1;1.28%;2;2.56%;47;60.26%;16;20.51%;9;11.54%;3;3.85%;78
CENTRO-OESTE;52;GO;521020;IPORA;5;2.19%;1;0.44%;124;54.39%;30;13.16%;30;13.16%;38;16.67%;228
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;2;1.54%;3;2.31%;86;66.15%;25;19.23%;10;7.69%;4;3.08%;130
CENTRO-OESTE;52;GO;521040;ITABERAI;25;2.03%;23;1.87%;801;65.07%;218;17.71%;102;8.29%;62;5.04%;1.231
CENTRO-OESTE;52;GO;521056;ITAGUARI;0;-;2;2.02%;55;55.56%;23;23.23%;11;11.11%;8;8.08%;99
CENTRO-OESTE;52;GO;521060;ITAGUARU;2;1.41%;0;-;89;62.68%;26;18.31%;13;9.15%;12;8.45%;142
CENTRO-OESTE;52;GO;521080;ITAJA;0;-;3;1.22%;161;65.45%;34;13.82%;29;11.79%;19;7.72%;246
CENTRO-OESTE;52;GO;521090;ITAPACI;21;4.6%;19;4.16%;266;58.21%;77;16.85%;47;10.28%;27;5.91%;457
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;2;1%;6;2.99%;130;64.68%;34;16.92%;18;8.96%;11;5.47%;201
CENTRO-OESTE;52;GO;521120;ITAPURANGA;12;3.17%;13;3.43%;230;60.69%;63;16.62%;42;11.08%;19;5.01%;379
CENTRO-OESTE;52;GO;521130;ITARUMA;0;-;0;-;61;71.76%;16;18.82%;4;4.71%;4;4.71%;85
CENTRO-OESTE;52;GO;521140;ITAUCU;2;1.32%;0;-;86;56.95%;34;22.52%;23;15.23%;6;3.97%;151
CENTRO-OESTE;52;GO;521150;ITUMBIARA;35;2.07%;45;2.66%;1.078;63.82%;290;17.17%;147;8.7%;94;5.57%;1.689
CENTRO-OESTE;52;GO;521160;IVOLANDIA;2;2.02%;1;1.01%;59;59.6%;17;17.17%;15;15.15%;5;5.05%;99
CENTRO-OESTE;52;GO;521170;JANDAIA;5;2.02%;9;3.64%;148;59.92%;50;20.24%;29;11.74%;6;2.43%;247
CENTRO-OESTE;52;GO;521180;JARAGUA;21;2.2%;38;3.99%;633;66.42%;141;14.8%;89;9.34%;31;3.25%;953
CENTRO-OESTE;52;GO;521190;JATAI;12;1.15%;21;2.01%;720;69.03%;159;15.24%;91;8.72%;40;3.84%;1.043
CENTRO-OESTE;52;GO;521200;JAUPACI;6;7.14%;2;2.38%;55;65.48%;7;8.33%;8;9.52%;6;7.14%;84
CENTRO-OESTE;52;GO;521205;JESUPOLIS;4;3.05%;8;6.11%;81;61.83%;20;15.27%;15;11.45%;3;2.29%;131
CENTRO-OESTE;52;GO;521210;JOVIANIA;3;1.7%;9;5.11%;92;52.27%;47;26.7%;15;8.52%;10;5.68%;176
CENTRO-OESTE;52;GO;521220;JUSSARA;5;2.25%;10;4.5%;128;57.66%;40;18.02%;23;10.36%;16;7.21%;222
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;2;3.45%;1;1.72%;38;65.52%;8;13.79%;5;8.62%;4;6.9%;58
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;6;1.66%;8;2.22%;226;62.6%;76;21.05%;28;7.76%;17;4.71%;361
CENTRO-OESTE;52;GO;521250;LUZIANIA;72;1.61%;110;2.46%;3.256;72.84%;655;14.65%;243;5.44%;134;3%;4.470
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;5;4.42%;2;1.77%;69;61.06%;25;22.12%;9;7.96%;3;2.65%;113
CENTRO-OESTE;52;GO;521270;MAMBAI;20;4.04%;34;6.87%;326;65.86%;84;16.97%;17;3.43%;14;2.83%;495
CENTRO-OESTE;52;GO;521280;MARA ROSA;7;2.78%;12;4.76%;176;69.84%;32;12.7%;17;6.75%;8;3.17%;252
CENTRO-OESTE;52;GO;521290;MARZAGAO;1;0.98%;2;1.96%;67;65.69%;22;21.57%;5;4.9%;5;4.9%;102
CENTRO-OESTE;52;GO;521295;MATRINCHA;1;0.7%;3;2.11%;93;65.49%;26;18.31%;15;10.56%;4;2.82%;142
CENTRO-OESTE;52;GO;521300;MAURILANDIA;8;2.02%;20;5.05%;262;66.16%;56;14.14%;31;7.83%;19;4.8%;396
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;1;1.02%;2;2.04%;68;69.39%;17;17.35%;6;6.12%;4;4.08%;98
CENTRO-OESTE;52;GO;521308;MINACU;17;2.81%;39;6.46%;390;64.57%;87;14.4%;47;7.78%;24;3.97%;604
CENTRO-OESTE;52;GO;521310;MINEIROS;12;1.46%;21;2.55%;585;71.17%;121;14.72%;53;6.45%;30;3.65%;822
CENTRO-OESTE;52;GO;521340;MOIPORA;1;1.22%;3;3.66%;52;63.41%;16;19.51%;6;7.32%;4;4.88%;82
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;44;11.83%;27;7.26%;226;60.75%;53;14.25%;18;4.84%;4;1.08%;372
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;6;2.97%;5;2.48%;115;56.93%;38;18.81%;27;13.37%;11;5.45%;202
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;3;1.89%;5;3.14%;97;61.01%;32;20.13%;13;8.18%;9;5.66%;159
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;6;3.11%;9;4.66%;135;69.95%;17;8.81%;13;6.74%;13;6.74%;193
CENTRO-OESTE;52;GO;521380;MORRINHOS;15;1.73%;25;2.89%;556;64.28%;149;17.23%;68;7.86%;52;6.01%;865
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;2;1.87%;3;2.8%;67;62.62%;28;26.17%;4;3.74%;3;2.8%;107
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;2;2.5%;2;2.5%;43;53.75%;17;21.25%;8;10%;8;10%;80
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;4;1.3%;12;3.91%;137;44.63%;86;28.01%;41;13.36%;27;8.79%;307
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;4;1.67%;7;2.92%;156;65%;37;15.42%;22;9.17%;14;5.83%;240
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;5;4.67%;3;2.8%;64;59.81%;12;11.21%;15;14.02%;8;7.48%;107
CENTRO-OESTE;52;GO;521440;NAZARIO;3;3.19%;2;2.13%;46;48.94%;21;22.34%;11;11.7%;11;11.7%;94
CENTRO-OESTE;52;GO;521450;NEROPOLIS;16;2.14%;26;3.48%;487;65.19%;132;17.67%;63;8.43%;23;3.08%;747
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;19;2.36%;30;3.73%;523;64.97%;131;16.27%;73;9.07%;29;3.6%;805
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;1;1.96%;2;3.92%;35;68.63%;11;21.57%;0;-;2;3.92%;51
CENTRO-OESTE;52;GO;521480;NOVA AURORA;0;-;1;0.91%;77;70%;17;15.45%;9;8.18%;6;5.45%;110
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;6;1.69%;5;1.41%;231;65.25%;57;16.1%;39;11.02%;16;4.52%;354
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;3;1.3%;8;3.46%;159;68.83%;42;18.18%;10;4.33%;9;3.9%;231
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;2;1.47%;4;2.94%;92;67.65%;17;12.5%;14;10.29%;7;5.15%;136
CENTRO-OESTE;52;GO;521490;NOVA ROMA;2;1.36%;5;3.4%;98;66.67%;23;15.65%;15;10.2%;4;2.72%;147
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;8;3.33%;6;2.5%;147;61.25%;26;10.83%;41;17.08%;12;5%;240
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;3;2.68%;3;2.68%;68;60.71%;26;23.21%;7;6.25%;5;4.46%;112
CENTRO-OESTE;52;GO;521523;NOVO GAMA;45;2.38%;64;3.39%;1.406;74.47%;216;11.44%;104;5.51%;53;2.81%;1.888
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;4;2.31%;9;5.2%;105;60.69%;20;11.56%;18;10.4%;17;9.83%;173
CENTRO-OESTE;52;GO;521530;ORIZONA;8;2.95%;9;3.32%;141;52.03%;67;24.72%;29;10.7%;17;6.27%;271
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;1;0.51%;4;2.05%;141;72.31%;36;18.46%;10;5.13%;3;1.54%;195
CENTRO-OESTE;52;GO;521550;OUVIDOR;1;0.74%;3;2.21%;87;63.97%;23;16.91%;11;8.09%;11;8.09%;136
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;8;1.41%;11;1.94%;415;73.06%;82;14.44%;33;5.81%;19;3.35%;568
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;0;-;3;3.37%;55;61.8%;18;20.22%;7;7.87%;6;6.74%;89
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;30;7.79%;13;3.38%;232;60.26%;60;15.58%;36;9.35%;14;3.64%;385
CENTRO-OESTE;52;GO;521580;PALMELO;1;2.38%;1;2.38%;30;71.43%;3;7.14%;4;9.52%;3;7.14%;42
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;1;2.22%;1;2.22%;24;53.33%;14;31.11%;3;6.67%;2;4.44%;45
CENTRO-OESTE;52;GO;521600;PANAMA;0;-;2;5.88%;19;55.88%;5;14.71%;4;11.76%;4;11.76%;34
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;3;2.22%;4;2.96%;84;62.22%;20;14.81%;16;11.85%;8;5.93%;135
CENTRO-OESTE;52;GO;521640;PARAUNA;4;1.21%;7;2.11%;213;64.35%;64;19.34%;24;7.25%;19;5.74%;331
CENTRO-OESTE;52;GO;521645;PEROLANDIA;3;1.99%;5;3.31%;95;62.91%;28;18.54%;15;9.93%;5;3.31%;151
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;1;0.71%;8;5.71%;86;61.43%;27;19.29%;9;6.43%;9;6.43%;140
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;4;3.17%;8;6.35%;62;49.21%;23;18.25%;22;17.46%;7;5.56%;126
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;2;0.64%;10;3.21%;196;62.82%;54;17.31%;28;8.97%;22;7.05%;312
CENTRO-OESTE;52;GO;521720;PIRANHAS;3;1.23%;4;1.64%;149;61.07%;52;21.31%;25;10.25%;11;4.51%;244
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;12;1.78%;19;2.81%;445;65.93%;107;15.85%;64;9.48%;28;4.15%;675
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;7;1.67%;4;0.95%;232;55.37%;87;20.76%;51;12.17%;38;9.07%;419
CENTRO-OESTE;52;GO;521760;PLANALTINA;55;2.48%;85;3.84%;1.536;69.31%;280;12.64%;162;7.31%;98;4.42%;2.216
