Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
CENTRO-OESTE;52;GO;520260;AURILANDIA;1;1.19%;3;3.57%;46;54.76%;21;25%;11;13.1%;2;2.38%;84
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;1;0.46%;6;2.76%;132;60.83%;37;17.05%;36;16.59%;5;2.3%;217
CENTRO-OESTE;52;GO;520310;BALIZA;0;-;4;2.47%;106;65.43%;34;20.99%;14;8.64%;4;2.47%;162
CENTRO-OESTE;52;GO;520320;BARRO ALTO;2;0.66%;5;1.64%;174;57.05%;65;21.31%;37;12.13%;22;7.21%;305
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;9;0.94%;39;4.08%;606;63.46%;169;17.7%;106;11.1%;26;2.72%;955
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;2;0.75%;14;5.26%;147;55.26%;67;25.19%;26;9.77%;10;3.76%;266
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;10;0.99%;40;3.97%;628;62.3%;205;20.34%;101;10.02%;24;2.38%;1.008
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;2;0.38%;10;1.92%;313;60.19%;102;19.62%;78;15%;15;2.88%;520
CENTRO-OESTE;52;GO;520357;BONOPOLIS;4;1.17%;14;4.11%;217;63.64%;62;18.18%;42;12.32%;2;0.59%;341
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;4;0.89%;10;2.23%;294;65.48%;76;16.93%;52;11.58%;13;2.9%;449
CENTRO-OESTE;52;GO;520380;BRITANIA;0;-;10;2.49%;228;56.86%;98;24.44%;53;13.22%;12;2.99%;401
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;4;1.04%;14;3.63%;227;58.81%;85;22.02%;45;11.66%;11;2.85%;386
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;0;-;2;1.05%;101;53.16%;40;21.05%;38;20%;9;4.74%;190
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;2;2.06%;5;5.15%;65;67.01%;17;17.53%;7;7.22%;1;1.03%;97
CENTRO-OESTE;52;GO;520400;CABECEIRAS;5;0.93%;9;1.68%;330;61.68%;109;20.37%;61;11.4%;21;3.93%;535
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;5;0.79%;22;3.5%;378;60.1%;125;19.87%;76;12.08%;23;3.66%;629
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;4;2.94%;81;59.56%;32;23.53%;16;11.76%;3;2.21%;136
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;2;0.4%;13;2.61%;312;62.53%;89;17.84%;64;12.83%;19;3.81%;499
CENTRO-OESTE;52;GO;520430;CACU;5;0.71%;19;2.68%;438;61.78%;131;18.48%;88;12.41%;28;3.95%;709
CENTRO-OESTE;52;GO;520440;CAIAPONIA;3;0.64%;9;1.91%;278;59.02%;92;19.53%;73;15.5%;16;3.4%;471
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;40;1.09%;151;4.12%;2.316;63.12%;715;19.49%;358;9.76%;89;2.43%;3.669
CENTRO-OESTE;52;GO;520455;CALDAZINHA;2;0.36%;17;3.07%;344;62.21%;125;22.6%;50;9.04%;15;2.71%;553
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;2;1.71%;7;5.98%;69;58.97%;29;24.79%;9;7.69%;1;0.85%;117
CENTRO-OESTE;52;GO;520465;CAMPINACU;4;1.03%;13;3.33%;260;66.67%;68;17.44%;36;9.23%;9;2.31%;390
CENTRO-OESTE;52;GO;520470;CAMPINORTE;8;1.37%;20;3.44%;363;62.37%;101;17.35%;67;11.51%;23;3.95%;582
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;2;0.57%;2;0.57%;223;63.35%;65;18.47%;44;12.5%;16;4.55%;352
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;0;-;3;2.61%;67;58.26%;26;22.61%;17;14.78%;2;1.74%;115
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;12;1.14%;39;3.71%;738;70.29%;174;16.57%;80;7.62%;7;0.67%;1.050
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;0;-;0;-;5;41.67%;4;33.33%;2;16.67%;1;8.33%;12
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;4;1.54%;8;3.09%;172;66.41%;39;15.06%;23;8.88%;13;5.02%;259
CENTRO-OESTE;52;GO;520505;CASTELANDIA;0;-;4;3.88%;53;51.46%;21;20.39%;20;19.42%;5;4.85%;103
CENTRO-OESTE;52;GO;520510;CATALAO;11;0.66%;60;3.61%;999;60.04%;317;19.05%;215;12.92%;62;3.73%;1.664
CENTRO-OESTE;52;GO;520520;CATURAI;5;1.31%;13;3.41%;237;62.2%;62;16.27%;53;13.91%;11;2.89%;381
CENTRO-OESTE;52;GO;520530;CAVALCANTE;10;1.19%;32;3.8%;587;69.71%;147;17.46%;57;6.77%;9;1.07%;842
CENTRO-OESTE;52;GO;520540;CERES;7;0.78%;31;3.46%;548;61.23%;179;20%;97;10.84%;33;3.69%;895
CENTRO-OESTE;52;GO;520545;CEZARINA;4;0.98%;14;3.41%;232;56.59%;78;19.02%;58;14.15%;24;5.85%;410
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;6;0.63%;20;2.11%;593;62.62%;193;20.38%;108;11.4%;27;2.85%;947
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;28;1.26%;104;4.69%;1.451;65.42%;386;17.4%;201;9.06%;48;2.16%;2.218
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;8;1.07%;20;2.66%;490;65.25%;149;19.84%;62;8.26%;22;2.93%;751
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;2;0.79%;8;3.15%;156;61.42%;61;24.02%;26;10.24%;1;0.39%;254
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;0;-;2;3.13%;27;42.19%;19;29.69%;10;15.63%;6;9.38%;64
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;4;1.37%;7;2.41%;185;63.57%;62;21.31%;23;7.9%;10;3.44%;291
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;4;1.03%;7;1.81%;235;60.72%;84;21.71%;44;11.37%;13;3.36%;387
CENTRO-OESTE;52;GO;520620;CRISTALINA;27;1.02%;79;2.99%;1.730;65.43%;461;17.44%;275;10.4%;72;2.72%;2.644
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;1;0.83%;5;4.13%;79;65.29%;25;20.66%;8;6.61%;3;2.48%;121
CENTRO-OESTE;52;GO;520640;CRIXAS;10;1.21%;32;3.87%;534;64.57%;142;17.17%;83;10.04%;26;3.14%;827
CENTRO-OESTE;52;GO;520650;CROMINIA;3;2.03%;3;2.03%;83;56.08%;32;21.62%;23;15.54%;4;2.7%;148
CENTRO-OESTE;52;GO;520660;CUMARI;1;0.78%;3;2.33%;79;61.24%;26;20.16%;14;10.85%;6;4.65%;129
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;2;1.18%;5;2.96%;117;69.23%;30;17.75%;12;7.1%;3;1.78%;169
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;2;3.28%;1;1.64%;45;73.77%;11;18.03%;2;3.28%;0;-;61
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;2;1.12%;5;2.79%;99;55.31%;49;27.37%;18;10.06%;6;3.35%;179
CENTRO-OESTE;52;GO;520710;DIORAMA;2;1.38%;11;7.59%;79;54.48%;30;20.69%;18;12.41%;5;3.45%;145
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;1;0.4%;9;3.59%;168;66.93%;38;15.14%;25;9.96%;10;3.98%;251
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;1;0.31%;9;2.8%;210;65.22%;64;19.88%;30;9.32%;8;2.48%;322
CENTRO-OESTE;52;GO;520735;EDEALINA;8;1.9%;15;3.55%;242;57.35%;78;18.48%;67;15.88%;12;2.84%;422
CENTRO-OESTE;52;GO;520740;EDEIA;4;0.49%;26;3.21%;489;60.44%;161;19.9%;91;11.25%;38;4.7%;809
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;2;3.28%;2;3.28%;37;60.66%;14;22.95%;4;6.56%;2;3.28%;61
CENTRO-OESTE;52;GO;520753;FAINA;1;0.88%;0;-;71;62.83%;25;22.12%;13;11.5%;3;2.65%;113
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;3;1.07%;7;2.5%;175;62.5%;58;20.71%;30;10.71%;7;2.5%;280
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;4;0.67%;20;3.34%;360;60.2%;112;18.73%;78;13.04%;24;4.01%;598
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;7;1.2%;25;4.29%;386;66.21%;103;17.67%;53;9.09%;9;1.54%;583
CENTRO-OESTE;52;GO;520800;FORMOSA;25;1.44%;74;4.25%;1.152;66.13%;302;17.34%;148;8.5%;41;2.35%;1.742
CENTRO-OESTE;52;GO;520810;FORMOSO;4;1.02%;24;6.11%;248;63.1%;76;19.34%;35;8.91%;6;1.53%;393
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;6;1.55%;12;3.11%;247;63.99%;60;15.54%;52;13.47%;9;2.33%;386
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;10;1.55%;26;4.02%;432;66.87%;99;15.33%;67;10.37%;12;1.86%;646
CENTRO-OESTE;52;GO;520850;GOIANDIRA;1;0.38%;6;2.26%;155;58.27%;49;18.42%;39;14.66%;16;6.02%;266
CENTRO-OESTE;52;GO;520860;GOIANESIA;10;0.71%;56;3.99%;901;64.13%;248;17.65%;140;9.96%;50;3.56%;1.405
CENTRO-OESTE;52;GO;520870;GOIANIA;272;1.02%;941;3.52%;17.032;63.62%;4.998;18.67%;2.817;10.52%;710;2.65%;26.770
CENTRO-OESTE;52;GO;520880;GOIANIRA;43;0.98%;142;3.22%;2.862;64.93%;803;18.22%;433;9.82%;125;2.84%;4.408
CENTRO-OESTE;52;GO;520890;GOIAS;10;1.37%;27;3.71%;430;59.07%;133;18.27%;102;14.01%;26;3.57%;728
CENTRO-OESTE;52;GO;520910;GOIATUBA;22;1.09%;67;3.33%;1.252;62.26%;397;19.74%;215;10.69%;58;2.88%;2.011
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;5;1.54%;16;4.94%;205;63.27%;55;16.98%;26;8.02%;17;5.25%;324
CENTRO-OESTE;52;GO;520920;GUAPO;10;0.99%;30;2.96%;685;67.49%;163;16.06%;101;9.95%;26;2.56%;1.015
CENTRO-OESTE;52;GO;520929;GUARAITA;0;-;7;4.61%;88;57.89%;30;19.74%;22;14.47%;5;3.29%;152
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;5;2.36%;6;2.83%;152;71.7%;33;15.57%;13;6.13%;3;1.42%;212
CENTRO-OESTE;52;GO;520945;GUARINOS;1;1.16%;2;2.33%;54;62.79%;20;23.26%;6;6.98%;3;3.49%;86
CENTRO-OESTE;52;GO;520960;HEITORAI;3;0.9%;10;2.99%;197;58.98%;62;18.56%;43;12.87%;19;5.69%;334
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;9;0.52%;54;3.14%;1.118;65.04%;319;18.56%;185;10.76%;34;1.98%;1.719
CENTRO-OESTE;52;GO;520980;HIDROLINA;0;-;6;7.41%;47;58.02%;18;22.22%;9;11.11%;1;1.23%;81
CENTRO-OESTE;52;GO;520990;IACIARA;5;0.74%;18;2.67%;458;68.05%;120;17.83%;58;8.62%;14;2.08%;673
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;3;0.78%;11;2.87%;200;52.22%;89;23.24%;56;14.62%;24;6.27%;383
CENTRO-OESTE;52;GO;520995;INDIARA;9;1.13%;22;2.75%;519;64.88%;153;19.13%;75;9.38%;22;2.75%;800
CENTRO-OESTE;52;GO;521000;INHUMAS;29;1.01%;116;4.04%;1.783;62.17%;536;18.69%;312;10.88%;92;3.21%;2.868
CENTRO-OESTE;52;GO;521010;IPAMERI;14;0.88%;41;2.59%;968;61.19%;313;19.79%;189;11.95%;57;3.6%;1.582
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;2;1.36%;4;2.72%;91;61.9%;32;21.77%;12;8.16%;6;4.08%;147
CENTRO-OESTE;52;GO;521020;IPORA;7;0.97%;23;3.17%;454;62.62%;125;17.24%;96;13.24%;20;2.76%;725
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;1;0.66%;5;3.31%;93;61.59%;30;19.87%;18;11.92%;4;2.65%;151
CENTRO-OESTE;52;GO;521040;ITABERAI;18;1.01%;52;2.91%;1.075;60.16%;371;20.76%;215;12.03%;56;3.13%;1.787
CENTRO-OESTE;52;GO;521056;ITAGUARI;2;1.14%;4;2.29%;94;53.71%;40;22.86%;30;17.14%;5;2.86%;175
CENTRO-OESTE;52;GO;521060;ITAGUARU;2;0.83%;6;2.49%;145;60.17%;48;19.92%;35;14.52%;5;2.07%;241
CENTRO-OESTE;52;GO;521080;ITAJA;1;0.38%;7;2.64%;153;57.74%;45;16.98%;44;16.6%;15;5.66%;265
CENTRO-OESTE;52;GO;521090;ITAPACI;9;1.8%;15;2.99%;316;63.07%;93;18.56%;54;10.78%;14;2.79%;501
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;3;1.38%;9;4.15%;123;56.68%;44;20.28%;29;13.36%;9;4.15%;217
CENTRO-OESTE;52;GO;521120;ITAPURANGA;5;1%;13;2.59%;303;60.48%;96;19.16%;69;13.77%;15;2.99%;501
CENTRO-OESTE;52;GO;521130;ITARUMA;1;0.33%;13;4.29%;156;51.49%;70;23.1%;43;14.19%;20;6.6%;303
CENTRO-OESTE;52;GO;521140;ITAUCU;4;0.81%;21;4.28%;290;59.06%;100;20.37%;56;11.41%;20;4.07%;491
CENTRO-OESTE;52;GO;521150;ITUMBIARA;42;1.27%;143;4.33%;1.905;57.71%;657;19.9%;434;13.15%;120;3.64%;3.301
CENTRO-OESTE;52;GO;521160;IVOLANDIA;1;0.5%;4;1.98%;110;54.46%;53;26.24%;31;15.35%;3;1.49%;202
CENTRO-OESTE;52;GO;521170;JANDAIA;4;1.22%;13;3.95%;201;61.09%;51;15.5%;49;14.89%;11;3.34%;329
CENTRO-OESTE;52;GO;521180;JARAGUA;18;1.22%;62;4.19%;927;62.72%;273;18.47%;150;10.15%;48;3.25%;1.478
CENTRO-OESTE;52;GO;521190;JATAI;21;0.81%;70;2.69%;1.568;60.24%;507;19.48%;304;11.68%;133;5.11%;2.603
CENTRO-OESTE;52;GO;521200;JAUPACI;0;-;2;5.26%;20;52.63%;10;26.32%;6;15.79%;0;-;38
CENTRO-OESTE;52;GO;521205;JESUPOLIS;3;1.49%;9;4.46%;124;61.39%;35;17.33%;26;12.87%;5;2.48%;202
CENTRO-OESTE;52;GO;521210;JOVIANIA;2;0.74%;12;4.41%;166;61.03%;61;22.43%;25;9.19%;6;2.21%;272
CENTRO-OESTE;52;GO;521220;JUSSARA;6;0.67%;25;2.8%;534;59.8%;176;19.71%;121;13.55%;31;3.47%;893
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;1;0.59%;5;2.96%;94;55.62%;37;21.89%;24;14.2%;8;4.73%;169
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;10;1.37%;28;3.83%;458;62.57%;168;22.95%;55;7.51%;13;1.78%;732
CENTRO-OESTE;52;GO;521250;LUZIANIA;56;0.87%;249;3.85%;4.264;65.9%;1.164;17.99%;565;8.73%;172;2.66%;6.470
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;0;-;0;-;42;64.62%;10;15.38%;11;16.92%;2;3.08%;65
CENTRO-OESTE;52;GO;521270;MAMBAI;7;2.55%;11;4%;178;64.73%;54;19.64%;20;7.27%;5;1.82%;275
CENTRO-OESTE;52;GO;521280;MARA ROSA;1;0.21%;18;3.72%;308;63.64%;100;20.66%;43;8.88%;14;2.89%;484
CENTRO-OESTE;52;GO;521290;MARZAGAO;0;-;9;5.17%;108;62.07%;32;18.39%;18;10.34%;7;4.02%;174
CENTRO-OESTE;52;GO;521295;MATRINCHA;3;1.27%;8;3.38%;154;64.98%;41;17.3%;19;8.02%;12;5.06%;237
CENTRO-OESTE;52;GO;521300;MAURILANDIA;3;0.82%;12;3.28%;198;54.1%;68;18.58%;49;13.39%;36;9.84%;366
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;0;-;3;2.46%;77;63.11%;20;16.39%;16;13.11%;6;4.92%;122
CENTRO-OESTE;52;GO;521308;MINACU;12;1.33%;43;4.76%;576;63.79%;167;18.49%;88;9.75%;17;1.88%;903
CENTRO-OESTE;52;GO;521310;MINEIROS;28;0.78%;93;2.59%;2.222;61.83%;663;18.45%;439;12.21%;149;4.15%;3.594
CENTRO-OESTE;52;GO;521340;MOIPORA;0;-;0;-;13;65%;5;25%;2;10%;0;-;20
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;2;0.5%;17;4.24%;281;70.07%;70;17.46%;27;6.73%;4;1%;401
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;2;0.67%;10;3.36%;175;58.72%;53;17.79%;43;14.43%;15;5.03%;298
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;14;1.66%;23;2.73%;501;59.5%;178;21.14%;102;12.11%;24;2.85%;842
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;0;-;12;3.96%;190;62.71%;57;18.81%;38;12.54%;6;1.98%;303
CENTRO-OESTE;52;GO;521380;MORRINHOS;15;0.92%;64;3.95%;1.020;62.89%;303;18.68%;170;10.48%;50;3.08%;1.622
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;3;2.36%;4;3.15%;79;62.2%;28;22.05%;11;8.66%;2;1.57%;127
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;2;1.47%;7;5.15%;79;58.09%;31;22.79%;16;11.76%;1;0.74%;136
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;3;0.48%;14;2.25%;381;61.35%;118;19%;78;12.56%;27;4.35%;621
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;3;0.87%;10;2.92%;220;64.14%;62;18.08%;33;9.62%;15;4.37%;343
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;1;0.57%;2;1.14%;102;57.95%;40;22.73%;25;14.2%;6;3.41%;176
CENTRO-OESTE;52;GO;521440;NAZARIO;4;2.14%;3;1.6%;116;62.03%;40;21.39%;19;10.16%;5;2.67%;187
CENTRO-OESTE;52;GO;521450;NEROPOLIS;14;0.85%;57;3.48%;1.041;63.48%;292;17.8%;176;10.73%;60;3.66%;1.640
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;18;0.93%;67;3.45%;1.256;64.71%;349;17.98%;213;10.97%;38;1.96%;1.941
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;2;1.04%;9;4.69%;119;61.98%;29;15.1%;29;15.1%;4;2.08%;192
CENTRO-OESTE;52;GO;521480;NOVA AURORA;0;-;4;3.6%;73;65.77%;18;16.22%;13;11.71%;3;2.7%;111
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;2;1.09%;6;3.28%;102;55.74%;34;18.58%;30;16.39%;9;4.92%;183
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;1;0.62%;8;4.94%;112;69.14%;24;14.81%;10;6.17%;7;4.32%;162
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;2;0.62%;11;3.41%;215;66.56%;57;17.65%;29;8.98%;9;2.79%;323
CENTRO-OESTE;52;GO;521490;NOVA ROMA;2;0.71%;14;4.95%;201;71.02%;37;13.07%;23;8.13%;6;2.12%;283
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;6;1.35%;13;2.92%;288;64.72%;79;17.75%;39;8.76%;20;4.49%;445
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;2;1.45%;4;2.9%;85;61.59%;26;18.84%;19;13.77%;2;1.45%;138
CENTRO-OESTE;52;GO;521523;NOVO GAMA;49;1.01%;185;3.8%;3.311;67.95%;827;16.97%;409;8.39%;92;1.89%;4.873
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;2;2.08%;0;-;66;68.75%;17;17.71%;10;10.42%;1;1.04%;96
CENTRO-OESTE;52;GO;521530;ORIZONA;7;1.59%;8;1.82%;206;46.92%;153;34.85%;51;11.62%;14;3.19%;439
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;3;1.67%;8;4.44%;117;65%;30;16.67%;19;10.56%;3;1.67%;180
CENTRO-OESTE;52;GO;521550;OUVIDOR;3;1.36%;9;4.07%;115;52.04%;48;21.72%;40;18.1%;6;2.71%;221
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;16;1.16%;41;2.98%;891;64.66%;259;18.8%;139;10.09%;32;2.32%;1.378
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;1;1.1%;1;1.1%;61;67.03%;11;12.09%;11;12.09%;6;6.59%;91
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;12;2.3%;21;4.03%;320;61.42%;87;16.7%;59;11.32%;22;4.22%;521
CENTRO-OESTE;52;GO;521580;PALMELO;1;0.48%;5;2.4%;129;62.02%;48;23.08%;20;9.62%;5;2.4%;208
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;2;0.6%;5;1.51%;206;62.05%;93;28.01%;21;6.33%;5;1.51%;332
CENTRO-OESTE;52;GO;521600;PANAMA;1;0.53%;5;2.66%;111;59.04%;35;18.62%;26;13.83%;10;5.32%;188
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;2;0.68%;3;1.02%;174;59.39%;58;19.8%;42;14.33%;14;4.78%;293
CENTRO-OESTE;52;GO;521640;PARAUNA;2;0.3%;22;3.26%;419;62.17%;116;17.21%;86;12.76%;29;4.3%;674
CENTRO-OESTE;52;GO;521645;PEROLANDIA;1;0.4%;4;1.61%;166;66.67%;48;19.28%;21;8.43%;9;3.61%;249
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;6;2.34%;12;4.69%;167;65.23%;45;17.58%;17;6.64%;9;3.52%;256
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;1;1.15%;3;3.45%;52;59.77%;20;22.99%;8;9.2%;3;3.45%;87
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;6;1.14%;12;2.28%;309;58.63%;113;21.44%;72;13.66%;15;2.85%;527
CENTRO-OESTE;52;GO;521720;PIRANHAS;4;0.96%;15;3.59%;244;58.37%;91;21.77%;54;12.92%;10;2.39%;418
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;11;0.96%;32;2.81%;757;66.4%;210;18.42%;108;9.47%;22;1.93%;1.140
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;6;0.73%;25;3.04%;485;59%;182;22.14%;96;11.68%;28;3.41%;822
