Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;1;0.79%;3;2.38%;70;55.56%;36;28.57%;13;10.32%;3;2.38%;126
CENTRO-OESTE;52;GO;520310;BALIZA;4;3.13%;8;6.25%;77;60.16%;22;17.19%;12;9.38%;5;3.91%;128
CENTRO-OESTE;52;GO;520320;BARRO ALTO;0;-;0;-;9;64.29%;3;21.43%;2;14.29%;0;-;14
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;3;0.58%;15;2.92%;346;67.45%;93;18.13%;45;8.77%;11;2.14%;513
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;0;-;1;1.61%;38;61.29%;14;22.58%;8;12.9%;1;1.61%;62
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;4;1.58%;14;5.53%;170;67.19%;37;14.62%;20;7.91%;8;3.16%;253
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;1;1.92%;1;1.92%;26;50%;14;26.92%;9;17.31%;1;1.92%;52
CENTRO-OESTE;52;GO;520357;BONOPOLIS;0;-;2;5%;31;77.5%;4;10%;3;7.5%;0;-;40
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;0;-;2;2.35%;61;71.76%;16;18.82%;4;4.71%;2;2.35%;85
CENTRO-OESTE;52;GO;520380;BRITANIA;0;-;0;-;9;45%;5;25%;4;20%;2;10%;20
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;0;-;1;5.26%;9;47.37%;5;26.32%;3;15.79%;1;5.26%;19
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;0;-;0;-;10;83.33%;2;16.67%;0;-;0;-;12
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;0;-;5;7.04%;50;70.42%;12;16.9%;4;5.63%;0;-;71
CENTRO-OESTE;52;GO;520400;CABECEIRAS;0;-;11;3.14%;217;62%;85;24.29%;31;8.86%;6;1.71%;350
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;3;2.13%;3;2.13%;83;58.87%;29;20.57%;15;10.64%;8;5.67%;141
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;1;1.85%;33;61.11%;10;18.52%;9;16.67%;1;1.85%;54
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;3;3.06%;2;2.04%;63;64.29%;17;17.35%;10;10.2%;3;3.06%;98
CENTRO-OESTE;52;GO;520430;CACU;1;0.7%;4;2.8%;81;56.64%;30;20.98%;17;11.89%;10;6.99%;143
CENTRO-OESTE;52;GO;520440;CAIAPONIA;0;-;1;1.37%;44;60.27%;13;17.81%;13;17.81%;2;2.74%;73
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;2;0.32%;11;1.74%;389;61.36%;136;21.45%;78;12.3%;18;2.84%;634
CENTRO-OESTE;52;GO;520455;CALDAZINHA;0;-;7;6.31%;66;59.46%;26;23.42%;9;8.11%;3;2.7%;111
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;3;2.54%;6;5.08%;69;58.47%;24;20.34%;13;11.02%;3;2.54%;118
CENTRO-OESTE;52;GO;520465;CAMPINACU;0;-;0;-;14;50%;10;35.71%;4;14.29%;0;-;28
CENTRO-OESTE;52;GO;520470;CAMPINORTE;0;-;2;2.35%;55;64.71%;14;16.47%;11;12.94%;3;3.53%;85
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;0;-;0;-;42;61.76%;12;17.65%;13;19.12%;1;1.47%;68
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;0;-;0;-;10;52.63%;3;15.79%;5;26.32%;1;5.26%;19
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;14;1.72%;27;3.33%;578;71.18%;136;16.75%;47;5.79%;10;1.23%;812
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;0;-;1;5.88%;11;64.71%;4;23.53%;1;5.88%;0;-;17
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;0;-;4;2.74%;86;58.9%;31;21.23%;18;12.33%;7;4.79%;146
CENTRO-OESTE;52;GO;520505;CASTELANDIA;0;-;0;-;8;50%;2;12.5%;4;25%;2;12.5%;16
CENTRO-OESTE;52;GO;520510;CATALAO;3;0.72%;12;2.86%;264;63.01%;89;21.24%;35;8.35%;16;3.82%;419
CENTRO-OESTE;52;GO;520520;CATURAI;1;0.66%;1;0.66%;92;60.93%;38;25.17%;16;10.6%;3;1.99%;151
CENTRO-OESTE;52;GO;520530;CAVALCANTE;0;-;0;-;29;54.72%;13;24.53%;11;20.75%;0;-;53
CENTRO-OESTE;52;GO;520540;CERES;1;0.48%;7;3.38%;120;57.97%;40;19.32%;29;14.01%;10;4.83%;207
CENTRO-OESTE;52;GO;520545;CEZARINA;2;3.45%;2;3.45%;32;55.17%;12;20.69%;7;12.07%;3;5.17%;58
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;5;1.45%;8;2.32%;210;60.87%;68;19.71%;46;13.33%;8;2.32%;345
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;9;0.73%;36;2.92%;693;56.3%;216;17.55%;96;7.8%;181;14.7%;1.231
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;1;1.52%;2;3.03%;34;51.52%;17;25.76%;9;13.64%;3;4.55%;66
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;1;2.86%;2;5.71%;20;57.14%;6;17.14%;3;8.57%;3;8.57%;35
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;0;-;0;-;5;35.71%;5;35.71%;4;28.57%;0;-;14
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;0;-;2;14.29%;10;71.43%;1;7.14%;1;7.14%;0;-;14
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;2;1.39%;3;2.08%;68;47.22%;39;27.08%;24;16.67%;8;5.56%;144
CENTRO-OESTE;52;GO;520620;CRISTALINA;18;1.38%;52;3.97%;850;64.94%;232;17.72%;121;9.24%;36;2.75%;1.309
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;1;2.5%;0;-;27;67.5%;8;20%;4;10%;0;-;40
CENTRO-OESTE;52;GO;520640;CRIXAS;6;2.2%;12;4.4%;165;60.44%;54;19.78%;27;9.89%;9;3.3%;273
CENTRO-OESTE;52;GO;520650;CROMINIA;0;-;2;2.08%;63;65.63%;12;12.5%;17;17.71%;2;2.08%;96
CENTRO-OESTE;52;GO;520660;CUMARI;0;-;1;10%;6;60%;3;30%;0;-;0;-;10
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;0;-;0;-;6;50%;1;8.33%;4;33.33%;1;8.33%;12
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;0;-;3;3.66%;54;65.85%;20;24.39%;5;6.1%;0;-;82
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;0;-;1;1.22%;43;52.44%;25;30.49%;12;14.63%;1;1.22%;82
CENTRO-OESTE;52;GO;520710;DIORAMA;0;-;4;7.02%;35;61.4%;7;12.28%;10;17.54%;1;1.75%;57
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;1;2.7%;0;-;28;75.68%;8;21.62%;0;-;0;-;37
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;1;1.33%;1;1.33%;42;56%;15;20%;13;17.33%;3;4%;75
CENTRO-OESTE;52;GO;520735;EDEALINA;0;-;1;3.85%;12;46.15%;3;11.54%;10;38.46%;0;-;26
CENTRO-OESTE;52;GO;520740;EDEIA;1;0.57%;8;4.57%;88;50.29%;44;25.14%;30;17.14%;4;2.29%;175
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;0;-;1;6.67%;10;66.67%;4;26.67%;0;-;0;-;15
CENTRO-OESTE;52;GO;520753;FAINA;3;2.52%;0;-;82;68.91%;27;22.69%;5;4.2%;2;1.68%;119
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;1;0.75%;4;2.99%;87;64.93%;25;18.66%;10;7.46%;7;5.22%;134
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;0;-;1;3.57%;13;46.43%;7;25%;5;17.86%;2;7.14%;28
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;9;2.33%;14;3.63%;244;63.21%;85;22.02%;28;7.25%;6;1.55%;386
CENTRO-OESTE;52;GO;520800;FORMOSA;5;1.18%;11;2.6%;266;62.88%;87;20.57%;48;11.35%;6;1.42%;423
CENTRO-OESTE;52;GO;520810;FORMOSO;1;1%;3;3%;71;71%;15;15%;8;8%;2;2%;100
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;0;-;4;3.6%;52;46.85%;30;27.03%;21;18.92%;4;3.6%;111
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;0;-;0;-;53;75.71%;13;18.57%;4;5.71%;0;-;70
CENTRO-OESTE;52;GO;520850;GOIANDIRA;0;-;2;1.02%;122;61.93%;38;19.29%;26;13.2%;9;4.57%;197
CENTRO-OESTE;52;GO;520860;GOIANESIA;0;-;4;1.56%;155;60.31%;54;21.01%;31;12.06%;13;5.06%;257
CENTRO-OESTE;52;GO;520870;GOIANIA;32;0.82%;121;3.09%;2.404;61.45%;789;20.17%;458;11.71%;108;2.76%;3.912
CENTRO-OESTE;52;GO;520880;GOIANIRA;2;0.29%;24;3.44%;437;62.7%;133;19.08%;72;10.33%;29;4.16%;697
CENTRO-OESTE;52;GO;520890;GOIAS;1;0.44%;8;3.51%;160;70.18%;34;14.91%;17;7.46%;8;3.51%;228
CENTRO-OESTE;52;GO;520910;GOIATUBA;3;0.63%;17;3.56%;305;63.81%;98;20.5%;46;9.62%;9;1.88%;478
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;1;1.59%;2;3.17%;33;52.38%;17;26.98%;9;14.29%;1;1.59%;63
CENTRO-OESTE;52;GO;520920;GUAPO;8;1.23%;14;2.14%;472;72.28%;109;16.69%;37;5.67%;13;1.99%;653
CENTRO-OESTE;52;GO;520929;GUARAITA;0;-;0;-;16;59.26%;7;25.93%;3;11.11%;1;3.7%;27
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;0;-;0;-;71;72.45%;18;18.37%;7;7.14%;2;2.04%;98
CENTRO-OESTE;52;GO;520945;GUARINOS;0;-;0;-;41;68.33%;13;21.67%;4;6.67%;2;3.33%;60
CENTRO-OESTE;52;GO;520960;HEITORAI;0;-;5;2.84%;96;54.55%;41;23.3%;23;13.07%;11;6.25%;176
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;3;0.97%;8;2.58%;173;55.81%;72;23.23%;47;15.16%;7;2.26%;310
CENTRO-OESTE;52;GO;520980;HIDROLINA;2;1.96%;1;0.98%;57;55.88%;28;27.45%;11;10.78%;3;2.94%;102
CENTRO-OESTE;52;GO;520990;IACIARA;4;1.15%;12;3.44%;245;70.2%;58;16.62%;24;6.88%;6;1.72%;349
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;0;-;0;-;24;50%;14;29.17%;8;16.67%;2;4.17%;48
CENTRO-OESTE;52;GO;520995;INDIARA;0;-;2;2.38%;52;61.9%;17;20.24%;11;13.1%;2;2.38%;84
CENTRO-OESTE;52;GO;521000;INHUMAS;8;0.82%;29;2.96%;604;61.63%;188;19.18%;119;12.14%;32;3.27%;980
CENTRO-OESTE;52;GO;521010;IPAMERI;3;1.04%;11;3.81%;168;58.13%;65;22.49%;32;11.07%;10;3.46%;289
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;0;-;1;9.09%;9;81.82%;0;-;1;9.09%;0;-;11
CENTRO-OESTE;52;GO;521020;IPORA;5;1.28%;8;2.04%;258;65.82%;75;19.13%;36;9.18%;10;2.55%;392
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;0;-;2;2.78%;44;61.11%;21;29.17%;4;5.56%;1;1.39%;72
CENTRO-OESTE;52;GO;521040;ITABERAI;4;0.87%;19;4.14%;306;66.67%;93;20.26%;29;6.32%;8;1.74%;459
CENTRO-OESTE;52;GO;521056;ITAGUARI;2;1.9%;0;-;51;48.57%;34;32.38%;16;15.24%;2;1.9%;105
CENTRO-OESTE;52;GO;521060;ITAGUARU;0;-;6;2.11%;192;67.37%;44;15.44%;37;12.98%;6;2.11%;285
CENTRO-OESTE;52;GO;521080;ITAJA;0;-;0;-;8;38.1%;4;19.05%;7;33.33%;2;9.52%;21
CENTRO-OESTE;52;GO;521090;ITAPACI;3;1.23%;8;3.28%;145;59.43%;62;25.41%;18;7.38%;8;3.28%;244
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;0;-;2;5%;25;62.5%;8;20%;4;10%;1;2.5%;40
CENTRO-OESTE;52;GO;521120;ITAPURANGA;2;1.09%;5;2.72%;106;57.61%;39;21.2%;25;13.59%;7;3.8%;184
CENTRO-OESTE;52;GO;521130;ITARUMA;1;3.45%;0;-;10;34.48%;8;27.59%;6;20.69%;4;13.79%;29
CENTRO-OESTE;52;GO;521140;ITAUCU;0;-;2;3.57%;30;53.57%;14;25%;8;14.29%;2;3.57%;56
CENTRO-OESTE;52;GO;521150;ITUMBIARA;8;0.79%;22;2.16%;617;60.61%;225;22.1%;117;11.49%;29;2.85%;1.018
CENTRO-OESTE;52;GO;521160;IVOLANDIA;0;-;2;2.82%;41;57.75%;13;18.31%;9;12.68%;6;8.45%;71
CENTRO-OESTE;52;GO;521170;JANDAIA;0;-;1;2.86%;18;51.43%;6;17.14%;8;22.86%;2;5.71%;35
CENTRO-OESTE;52;GO;521180;JARAGUA;3;0.89%;12;3.55%;219;64.79%;67;19.82%;30;8.88%;7;2.07%;338
CENTRO-OESTE;52;GO;521190;JATAI;7;1.46%;13;2.71%;253;52.82%;101;21.09%;79;16.49%;26;5.43%;479
CENTRO-OESTE;52;GO;521200;JAUPACI;0;-;0;-;1;100%;0;-;0;-;0;-;1
CENTRO-OESTE;52;GO;521205;JESUPOLIS;0;-;4;6.9%;34;58.62%;15;25.86%;5;8.62%;0;-;58
CENTRO-OESTE;52;GO;521210;JOVIANIA;2;4.55%;0;-;27;61.36%;6;13.64%;9;20.45%;0;-;44
CENTRO-OESTE;52;GO;521220;JUSSARA;1;0.91%;2;1.82%;57;51.82%;22;20%;22;20%;6;5.45%;110
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;0;-;1;2%;36;72%;10;20%;3;6%;0;-;50
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;5;1.17%;9;2.11%;248;58.22%;94;22.07%;53;12.44%;17;3.99%;426
CENTRO-OESTE;52;GO;521250;LUZIANIA;21;0.9%;83;3.56%;1.619;69.37%;376;16.11%;193;8.27%;42;1.8%;2.334
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;0;-;0;-;14;60.87%;3;13.04%;5;21.74%;1;4.35%;23
CENTRO-OESTE;52;GO;521270;MAMBAI;0;-;3;1.74%;131;76.16%;33;19.19%;4;2.33%;1;0.58%;172
CENTRO-OESTE;52;GO;521280;MARA ROSA;3;1.51%;8;4.02%;132;66.33%;35;17.59%;20;10.05%;1;0.5%;199
CENTRO-OESTE;52;GO;521290;MARZAGAO;0;-;2;6.06%;20;60.61%;7;21.21%;4;12.12%;0;-;33
CENTRO-OESTE;52;GO;521295;MATRINCHA;0;-;1;1.22%;56;68.29%;17;20.73%;8;9.76%;0;-;82
CENTRO-OESTE;52;GO;521300;MAURILANDIA;2;1.27%;5;3.16%;91;57.59%;34;21.52%;22;13.92%;4;2.53%;158
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;2;2.56%;0;-;50;64.1%;17;21.79%;8;10.26%;1;1.28%;78
CENTRO-OESTE;52;GO;521308;MINACU;9;2.26%;20;5.01%;268;67.17%;69;17.29%;31;7.77%;2;0.5%;399
CENTRO-OESTE;52;GO;521310;MINEIROS;18;1.39%;44;3.39%;812;62.51%;247;19.01%;134;10.32%;44;3.39%;1.299
CENTRO-OESTE;52;GO;521340;MOIPORA;0;-;1;3.57%;12;42.86%;8;28.57%;7;25%;0;-;28
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;1;0.64%;8;5.13%;104;66.67%;32;20.51%;9;5.77%;2;1.28%;156
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;1;0.72%;4;2.88%;86;61.87%;28;20.14%;18;12.95%;2;1.44%;139
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;0;-;0;-;31;59.62%;11;21.15%;10;19.23%;0;-;52
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;6;2.14%;7;2.5%;192;68.57%;52;18.57%;19;6.79%;4;1.43%;280
CENTRO-OESTE;52;GO;521380;MORRINHOS;4;1%;13;3.26%;247;61.9%;89;22.31%;35;8.77%;11;2.76%;399
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;0;-;0;-;8;100%;0;-;0;-;0;-;8
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;0;-;2;2.02%;61;61.62%;25;25.25%;8;8.08%;3;3.03%;99
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;1;0.37%;4;1.49%;166;61.94%;57;21.27%;33;12.31%;7;2.61%;268
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;2;1.92%;2;1.92%;55;52.88%;20;19.23%;16;15.38%;9;8.65%;104
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;0;-;2;4%;30;60%;10;20%;7;14%;1;2%;50
CENTRO-OESTE;52;GO;521440;NAZARIO;0;-;0;-;7;58.33%;3;25%;1;8.33%;1;8.33%;12
CENTRO-OESTE;52;GO;521450;NEROPOLIS;0;-;4;3.1%;57;44.19%;40;31.01%;21;16.28%;7;5.43%;129
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;2;1.41%;2;1.41%;88;61.97%;29;20.42%;18;12.68%;3;2.11%;142
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;0;-;0;-;29;54.72%;15;28.3%;7;13.21%;2;3.77%;53
CENTRO-OESTE;52;GO;521480;NOVA AURORA;1;1.47%;1;1.47%;34;50%;17;25%;11;16.18%;4;5.88%;68
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;0;-;5;3.5%;81;56.64%;39;27.27%;14;9.79%;4;2.8%;143
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;1;0.59%;6;3.53%;122;71.76%;32;18.82%;7;4.12%;2;1.18%;170
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;0;-;2;1.8%;88;79.28%;9;8.11%;10;9.01%;2;1.8%;111
CENTRO-OESTE;52;GO;521490;NOVA ROMA;5;3.03%;8;4.85%;97;58.79%;40;24.24%;12;7.27%;3;1.82%;165
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;7;1.69%;9;2.18%;250;60.53%;113;27.36%;25;6.05%;9;2.18%;413
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;0;-;0;-;7;53.85%;4;30.77%;2;15.38%;0;-;13
CENTRO-OESTE;52;GO;521523;NOVO GAMA;1;0.24%;14;3.42%;223;54.52%;116;28.36%;49;11.98%;6;1.47%;409
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;0;-;1;1.96%;25;49.02%;17;33.33%;4;7.84%;4;7.84%;51
CENTRO-OESTE;52;GO;521530;ORIZONA;11;3.82%;4;1.39%;186;64.58%;52;18.06%;27;9.38%;8;2.78%;288
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;0;-;2;10%;7;35%;8;40%;3;15%;0;-;20
CENTRO-OESTE;52;GO;521550;OUVIDOR;0;-;2;1.59%;77;61.11%;30;23.81%;15;11.9%;2;1.59%;126
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;0;-;5;5.32%;56;59.57%;17;18.09%;10;10.64%;6;6.38%;94
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;1;4.76%;0;-;12;57.14%;3;14.29%;5;23.81%;0;-;21
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;3;1.88%;4;2.5%;103;64.38%;29;18.13%;17;10.63%;4;2.5%;160
CENTRO-OESTE;52;GO;521580;PALMELO;0;-;1;3.45%;20;68.97%;3;10.34%;4;13.79%;1;3.45%;29
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;0;-;0;-;18;60%;8;26.67%;4;13.33%;0;-;30
CENTRO-OESTE;52;GO;521600;PANAMA;0;-;3;6.38%;23;48.94%;8;17.02%;7;14.89%;6;12.77%;47
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;0;-;2;2.56%;43;55.13%;17;21.79%;14;17.95%;2;2.56%;78
CENTRO-OESTE;52;GO;521640;PARAUNA;2;0.56%;11;3.06%;201;55.83%;83;23.06%;49;13.61%;14;3.89%;360
CENTRO-OESTE;52;GO;521645;PEROLANDIA;0;-;1;3.7%;9;33.33%;10;37.04%;3;11.11%;4;14.81%;27
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;2;1.06%;5;2.66%;128;68.09%;34;18.09%;14;7.45%;5;2.66%;188
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;1;1.52%;0;-;33;50%;25;37.88%;7;10.61%;0;-;66
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;0;-;5;3.07%;95;58.28%;40;24.54%;12;7.36%;11;6.75%;163
CENTRO-OESTE;52;GO;521720;PIRANHAS;0;-;1;1.52%;36;54.55%;15;22.73%;12;18.18%;2;3.03%;66
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;6;1.2%;14;2.79%;324;64.67%;89;17.76%;58;11.58%;10;2%;501
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;8;1.13%;25;3.52%;457;64.37%;127;17.89%;78;10.99%;15;2.11%;710
CENTRO-OESTE;52;GO;521760;PLANALTINA;5;1.01%;12;2.41%;274;55.13%;137;27.57%;63;12.68%;6;1.21%;497
CENTRO-OESTE;52;GO;521770;PONTALINA;2;1.01%;2;1.01%;123;62.12%;34;17.17%;28;14.14%;9;4.55%;198
CENTRO-OESTE;52;GO;521800;PORANGATU;3;0.83%;6;1.67%;234;65%;70;19.44%;38;10.56%;9;2.5%;360
CENTRO-OESTE;52;GO;521805;PORTEIRAO;0;-;0;-;1;14.29%;2;28.57%;4;57.14%;0;-;7
CENTRO-OESTE;52;GO;521810;PORTELANDIA;0;-;0;-;12;63.16%;5;26.32%;2;10.53%;0;-;19
CENTRO-OESTE;52;GO;521830;POSSE;8;1.29%;31;4.99%;416;66.99%;99;15.94%;52;8.37%;15;2.42%;621
CENTRO-OESTE;52;GO;521839;PROFESSOR JAMIL;1;0.65%;3;1.96%;94;61.44%;38;24.84%;16;10.46%;1;0.65%;153
CENTRO-OESTE;52;GO;521850;QUIRINOPOLIS;1;0.28%;6;1.68%;178;49.86%;135;37.82%;31;8.68%;6;1.68%;357
CENTRO-OESTE;52;GO;521860;RIALMA;2;1.16%;4;2.33%;113;65.7%;29;16.86%;19;11.05%;5;2.91%;172
CENTRO-OESTE;52;GO;521870;RIANAPOLIS;0;-;0;-;12;60%;4;20%;3;15%;1;5%;20
