Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
CENTRO-OESTE;52;GO;520260;AURILANDIA;2;2.25%;0;-;58;65.17%;16;17.98%;5;5.62%;8;8.99%;89
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;21;14.19%;11;7.43%;65;43.92%;15;10.14%;11;7.43%;25;16.89%;148
CENTRO-OESTE;52;GO;520310;BALIZA;4;4.65%;6;6.98%;43;50%;12;13.95%;8;9.3%;13;15.12%;86
CENTRO-OESTE;52;GO;520320;BARRO ALTO;10;3.25%;12;3.9%;152;49.35%;67;21.75%;29;9.42%;38;12.34%;308
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;42;10.63%;17;4.3%;177;44.81%;76;19.24%;43;10.89%;40;10.13%;395
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;7;3.43%;4;1.96%;123;60.29%;33;16.18%;18;8.82%;19;9.31%;204
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;35;5.89%;23;3.87%;302;50.84%;84;14.14%;54;9.09%;96;16.16%;594
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;21;8.02%;18;6.87%;136;51.91%;21;8.02%;28;10.69%;38;14.5%;262
CENTRO-OESTE;52;GO;520357;BONOPOLIS;4;5.19%;3;3.9%;51;66.23%;10;12.99%;5;6.49%;4;5.19%;77
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;5;2.42%;4;1.93%;116;56.04%;32;15.46%;18;8.7%;32;15.46%;207
CENTRO-OESTE;52;GO;520380;BRITANIA;7;4.14%;3;1.78%;92;54.44%;31;18.34%;21;12.43%;15;8.88%;169
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;2;2.02%;3;3.03%;69;69.7%;18;18.18%;5;5.05%;2;2.02%;99
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;2;4%;2;4%;29;58%;10;20%;5;10%;2;4%;50
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;47;37.3%;7;5.56%;44;34.92%;7;5.56%;12;9.52%;9;7.14%;126
CENTRO-OESTE;52;GO;520400;CABECEIRAS;11;2.05%;17;3.17%;353;65.86%;89;16.6%;32;5.97%;34;6.34%;536
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;3;1.21%;11;4.45%;164;66.4%;43;17.41%;10;4.05%;16;6.48%;247
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;2;2.86%;4;5.71%;39;55.71%;9;12.86%;9;12.86%;7;10%;70
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;10;7.14%;4;2.86%;76;54.29%;17;12.14%;12;8.57%;21;15%;140
CENTRO-OESTE;52;GO;520430;CACU;3;1.06%;8;2.83%;176;62.19%;66;23.32%;18;6.36%;12;4.24%;283
CENTRO-OESTE;52;GO;520440;CAIAPONIA;8;1.53%;5;0.96%;356;68.2%;106;20.31%;30;5.75%;17;3.26%;522
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;38;3.58%;27;2.55%;715;67.45%;166;15.66%;65;6.13%;49;4.62%;1.060
CENTRO-OESTE;52;GO;520455;CALDAZINHA;3;3.23%;4;4.3%;50;53.76%;20;21.51%;2;2.15%;14;15.05%;93
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;2;1.31%;5;3.27%;86;56.21%;29;18.95%;16;10.46%;15;9.8%;153
CENTRO-OESTE;52;GO;520465;CAMPINACU;7;4.4%;5;3.14%;109;68.55%;21;13.21%;10;6.29%;7;4.4%;159
CENTRO-OESTE;52;GO;520470;CAMPINORTE;6;3.16%;7;3.68%;140;73.68%;20;10.53%;11;5.79%;6;3.16%;190
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;0;-;4;5.19%;53;68.83%;12;15.58%;7;9.09%;1;1.3%;77
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;2;0.97%;1;0.49%;117;56.8%;57;27.67%;18;8.74%;11;5.34%;206
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;32;5.5%;28;4.81%;388;66.67%;68;11.68%;33;5.67%;33;5.67%;582
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;4;1.96%;7;3.43%;133;65.2%;36;17.65%;11;5.39%;13;6.37%;204
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;25;10.78%;11;4.74%;110;47.41%;39;16.81%;17;7.33%;30;12.93%;232
CENTRO-OESTE;52;GO;520505;CASTELANDIA;1;1.25%;2;2.5%;49;61.25%;18;22.5%;7;8.75%;3;3.75%;80
CENTRO-OESTE;52;GO;520510;CATALAO;22;3.94%;14;2.51%;333;59.68%;115;20.61%;43;7.71%;31;5.56%;558
CENTRO-OESTE;52;GO;520520;CATURAI;6;2.59%;6;2.59%;151;65.09%;38;16.38%;18;7.76%;13;5.6%;232
CENTRO-OESTE;52;GO;520530;CAVALCANTE;18;6.72%;11;4.1%;158;58.96%;35;13.06%;21;7.84%;25;9.33%;268
CENTRO-OESTE;52;GO;520540;CERES;19;4.05%;18;3.84%;273;58.21%;84;17.91%;28;5.97%;47;10.02%;469
CENTRO-OESTE;52;GO;520545;CEZARINA;1;1.08%;1;1.08%;64;68.82%;19;20.43%;4;4.3%;4;4.3%;93
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;4;0.6%;12;1.8%;445;66.62%;138;20.66%;49;7.34%;20;2.99%;668
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;56;4.36%;45;3.51%;804;62.67%;179;13.95%;97;7.56%;102;7.95%;1.283
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;21;3.54%;30;5.06%;353;59.53%;91;15.35%;46;7.76%;52;8.77%;593
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;15;7.69%;7;3.59%;106;54.36%;28;14.36%;17;8.72%;22;11.28%;195
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;2;3.39%;0;-;28;47.46%;17;28.81%;7;11.86%;5;8.47%;59
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;6;2.02%;13;4.38%;191;64.31%;41;13.8%;23;7.74%;23;7.74%;297
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;2;1.44%;4;2.88%;79;56.83%;28;20.14%;13;9.35%;13;9.35%;139
CENTRO-OESTE;52;GO;520620;CRISTALINA;33;2.54%;31;2.39%;750;57.74%;253;19.48%;104;8.01%;128;9.85%;1.299
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;2;2.82%;1;1.41%;41;57.75%;13;18.31%;7;9.86%;7;9.86%;71
CENTRO-OESTE;52;GO;520640;CRIXAS;10;4.95%;8;3.96%;101;50%;33;16.34%;24;11.88%;26;12.87%;202
CENTRO-OESTE;52;GO;520650;CROMINIA;1;0.83%;1;0.83%;67;55.83%;18;15%;15;12.5%;18;15%;120
CENTRO-OESTE;52;GO;520660;CUMARI;4;13.33%;1;3.33%;14;46.67%;6;20%;2;6.67%;3;10%;30
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;7;3.54%;8;4.04%;127;64.14%;27;13.64%;18;9.09%;11;5.56%;198
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;0;-;1;1.27%;53;67.09%;14;17.72%;7;8.86%;4;5.06%;79
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;0;-;2;3.57%;40;71.43%;6;10.71%;7;12.5%;1;1.79%;56
CENTRO-OESTE;52;GO;520710;DIORAMA;0;-;4;5.8%;49;71.01%;13;18.84%;1;1.45%;2;2.9%;69
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;2;1.05%;5;2.63%;136;71.58%;28;14.74%;6;3.16%;13;6.84%;190
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;4;1.38%;8;2.77%;210;72.66%;44;15.22%;15;5.19%;8;2.77%;289
CENTRO-OESTE;52;GO;520735;EDEALINA;1;0.51%;6;3.08%;123;63.08%;40;20.51%;17;8.72%;8;4.1%;195
CENTRO-OESTE;52;GO;520740;EDEIA;4;2.76%;4;2.76%;82;56.55%;31;21.38%;13;8.97%;11;7.59%;145
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;0;-;2;4.26%;38;80.85%;5;10.64%;2;4.26%;0;-;47
CENTRO-OESTE;52;GO;520753;FAINA;34;14.98%;22;9.69%;90;39.65%;32;14.1%;13;5.73%;36;15.86%;227
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;2;2.94%;1;1.47%;39;57.35%;17;25%;8;11.76%;1;1.47%;68
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;9;2.53%;13;3.65%;231;64.89%;58;16.29%;23;6.46%;22;6.18%;356
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;13;3.59%;25;6.91%;208;57.46%;53;14.64%;27;7.46%;36;9.94%;362
CENTRO-OESTE;52;GO;520800;FORMOSA;109;4.7%;123;5.3%;1.449;62.46%;332;14.31%;166;7.16%;141;6.08%;2.320
CENTRO-OESTE;52;GO;520810;FORMOSO;7;4.07%;5;2.91%;107;62.21%;35;20.35%;13;7.56%;5;2.91%;172
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;3;3.26%;2;2.17%;60;65.22%;13;14.13%;7;7.61%;7;7.61%;92
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;5;2.24%;3;1.35%;150;67.26%;37;16.59%;11;4.93%;17;7.62%;223
CENTRO-OESTE;52;GO;520850;GOIANDIRA;11;14.47%;8;10.53%;34;44.74%;6;7.89%;11;14.47%;6;7.89%;76
CENTRO-OESTE;52;GO;520860;GOIANESIA;24;3.32%;17;2.35%;456;63.07%;126;17.43%;49;6.78%;51;7.05%;723
CENTRO-OESTE;52;GO;520870;GOIANIA;108;3.3%;103;3.15%;2.120;64.79%;533;16.29%;210;6.42%;198;6.05%;3.272
CENTRO-OESTE;52;GO;520880;GOIANIRA;48;2.08%;76;3.29%;1.508;65.25%;406;17.57%;167;7.23%;106;4.59%;2.311
CENTRO-OESTE;52;GO;520890;GOIAS;27;6.62%;18;4.41%;197;48.28%;62;15.2%;40;9.8%;64;15.69%;408
CENTRO-OESTE;52;GO;520910;GOIATUBA;46;9.87%;31;6.65%;237;50.86%;69;14.81%;49;10.52%;34;7.3%;466
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;3;2.46%;10;8.2%;88;72.13%;12;9.84%;4;3.28%;5;4.1%;122
CENTRO-OESTE;52;GO;520920;GUAPO;20;5.9%;17;5.01%;167;49.26%;50;14.75%;33;9.73%;52;15.34%;339
CENTRO-OESTE;52;GO;520929;GUARAITA;4;7.27%;3;5.45%;29;52.73%;15;27.27%;1;1.82%;3;5.45%;55
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;9;3.54%;13;5.12%;145;57.09%;33;12.99%;28;11.02%;26;10.24%;254
CENTRO-OESTE;52;GO;520945;GUARINOS;1;0.75%;2;1.49%;92;68.66%;25;18.66%;10;7.46%;4;2.99%;134
CENTRO-OESTE;52;GO;520960;HEITORAI;4;2.96%;4;2.96%;52;38.52%;35;25.93%;19;14.07%;21;15.56%;135
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;16;4.41%;19;5.23%;200;55.1%;52;14.33%;38;10.47%;38;10.47%;363
CENTRO-OESTE;52;GO;520980;HIDROLINA;3;2.94%;1;0.98%;70;68.63%;16;15.69%;7;6.86%;5;4.9%;102
CENTRO-OESTE;52;GO;520990;IACIARA;21;2.63%;18;2.25%;639;79.97%;67;8.39%;21;2.63%;33;4.13%;799
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;0;-;2;1.49%;108;80.6%;14;10.45%;4;2.99%;6;4.48%;134
CENTRO-OESTE;52;GO;520995;INDIARA;12;4.2%;13;4.55%;156;54.55%;51;17.83%;24;8.39%;30;10.49%;286
CENTRO-OESTE;52;GO;521000;INHUMAS;64;8.36%;33;4.31%;419;54.7%;135;17.62%;70;9.14%;45;5.87%;766
CENTRO-OESTE;52;GO;521010;IPAMERI;32;4.67%;39;5.69%;395;57.66%;109;15.91%;63;9.2%;47;6.86%;685
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;5;7.81%;5;7.81%;30;46.88%;8;12.5%;10;15.63%;6;9.38%;64
CENTRO-OESTE;52;GO;521020;IPORA;10;4.69%;4;1.88%;105;49.3%;33;15.49%;29;13.62%;32;15.02%;213
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;1;0.72%;4;2.9%;102;73.91%;20;14.49%;6;4.35%;5;3.62%;138
CENTRO-OESTE;52;GO;521040;ITABERAI;70;6.69%;46;4.39%;424;40.5%;147;14.04%;122;11.65%;238;22.73%;1.047
CENTRO-OESTE;52;GO;521056;ITAGUARI;4;5.8%;4;5.8%;40;57.97%;14;20.29%;4;5.8%;3;4.35%;69
CENTRO-OESTE;52;GO;521060;ITAGUARU;4;2.56%;3;1.92%;95;60.9%;29;18.59%;16;10.26%;9;5.77%;156
CENTRO-OESTE;52;GO;521080;ITAJA;0;-;4;3.2%;81;64.8%;30;24%;8;6.4%;2;1.6%;125
CENTRO-OESTE;52;GO;521090;ITAPACI;9;2.37%;23;6.05%;193;50.79%;65;17.11%;39;10.26%;51;13.42%;380
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;21;11.54%;11;6.04%;89;48.9%;23;12.64%;16;8.79%;22;12.09%;182
CENTRO-OESTE;52;GO;521120;ITAPURANGA;15;4.49%;9;2.69%;187;55.99%;62;18.56%;36;10.78%;25;7.49%;334
CENTRO-OESTE;52;GO;521130;ITARUMA;2;1.59%;5;3.97%;76;60.32%;23;18.25%;11;8.73%;9;7.14%;126
CENTRO-OESTE;52;GO;521140;ITAUCU;3;2.33%;3;2.33%;72;55.81%;26;20.16%;12;9.3%;13;10.08%;129
CENTRO-OESTE;52;GO;521150;ITUMBIARA;68;5.48%;64;5.16%;734;59.19%;187;15.08%;87;7.02%;100;8.06%;1.240
CENTRO-OESTE;52;GO;521160;IVOLANDIA;1;0.97%;2;1.94%;57;55.34%;17;16.5%;12;11.65%;14;13.59%;103
CENTRO-OESTE;52;GO;521170;JANDAIA;9;4.64%;8;4.12%;125;64.43%;27;13.92%;19;9.79%;6;3.09%;194
CENTRO-OESTE;52;GO;521180;JARAGUA;36;3.41%;30;2.84%;655;61.97%;181;17.12%;76;7.19%;79;7.47%;1.057
CENTRO-OESTE;52;GO;521190;JATAI;27;1.46%;26;1.4%;1.227;66.29%;375;20.26%;132;7.13%;64;3.46%;1.851
CENTRO-OESTE;52;GO;521200;JAUPACI;4;6.06%;0;-;41;62.12%;12;18.18%;4;6.06%;5;7.58%;66
CENTRO-OESTE;52;GO;521205;JESUPOLIS;0;-;2;2.35%;65;76.47%;12;14.12%;4;4.71%;2;2.35%;85
CENTRO-OESTE;52;GO;521210;JOVIANIA;6;6.52%;2;2.17%;57;61.96%;20;21.74%;5;5.43%;2;2.17%;92
CENTRO-OESTE;52;GO;521220;JUSSARA;15;3.41%;17;3.86%;250;56.82%;69;15.68%;38;8.64%;51;11.59%;440
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;2;11.76%;1;5.88%;9;52.94%;2;11.76%;1;5.88%;2;11.76%;17
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;40;13.56%;24;8.14%;163;55.25%;29;9.83%;18;6.1%;21;7.12%;295
CENTRO-OESTE;52;GO;521250;LUZIANIA;85;2.01%;109;2.58%;2.791;66%;744;17.59%;299;7.07%;201;4.75%;4.229
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;4;6.15%;4;6.15%;18;27.69%;14;21.54%;7;10.77%;18;27.69%;65
CENTRO-OESTE;52;GO;521270;MAMBAI;16;5.02%;16;5.02%;169;52.98%;47;14.73%;29;9.09%;42;13.17%;319
CENTRO-OESTE;52;GO;521280;MARA ROSA;8;3.88%;4;1.94%;118;57.28%;42;20.39%;27;13.11%;7;3.4%;206
CENTRO-OESTE;52;GO;521290;MARZAGAO;2;1.87%;4;3.74%;69;64.49%;20;18.69%;6;5.61%;6;5.61%;107
CENTRO-OESTE;52;GO;521295;MATRINCHA;4;4.65%;2;2.33%;57;66.28%;12;13.95%;6;6.98%;5;5.81%;86
CENTRO-OESTE;52;GO;521300;MAURILANDIA;1;0.45%;10;4.55%;131;59.55%;45;20.45%;19;8.64%;14;6.36%;220
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;3;2%;5;3.33%;97;64.67%;27;18%;10;6.67%;8;5.33%;150
CENTRO-OESTE;52;GO;521308;MINACU;30;6.04%;41;8.25%;302;60.76%;63;12.68%;27;5.43%;34;6.84%;497
CENTRO-OESTE;52;GO;521310;MINEIROS;14;1.96%;22;3.08%;448;62.75%;123;17.23%;56;7.84%;51;7.14%;714
CENTRO-OESTE;52;GO;521340;MOIPORA;5;6.17%;2;2.47%;50;61.73%;14;17.28%;2;2.47%;8;9.88%;81
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;40;10.44%;14;3.66%;181;47.26%;33;8.62%;23;6.01%;92;24.02%;383
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;15;9.8%;4;2.61%;98;64.05%;16;10.46%;9;5.88%;11;7.19%;153
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;4;2.19%;7;3.83%;95;51.91%;44;24.04%;23;12.57%;10;5.46%;183
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;10;9.09%;6;5.45%;61;55.45%;14;12.73%;10;9.09%;9;8.18%;110
CENTRO-OESTE;52;GO;521380;MORRINHOS;33;3.21%;79;7.68%;647;62.94%;101;9.82%;46;4.47%;122;11.87%;1.028
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;6;9.68%;2;3.23%;37;59.68%;4;6.45%;6;9.68%;7;11.29%;62
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;3;3.23%;5;5.38%;41;44.09%;15;16.13%;14;15.05%;15;16.13%;93
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;20;9.85%;10;4.93%;88;43.35%;35;17.24%;18;8.87%;32;15.76%;203
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;12;6.56%;9;4.92%;89;48.63%;33;18.03%;22;12.02%;18;9.84%;183
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;3;2.94%;4;3.92%;69;67.65%;15;14.71%;4;3.92%;7;6.86%;102
CENTRO-OESTE;52;GO;521440;NAZARIO;5;2.58%;5;2.58%;88;45.36%;55;28.35%;22;11.34%;19;9.79%;194
CENTRO-OESTE;52;GO;521450;NEROPOLIS;24;4.81%;13;2.61%;293;58.72%;85;17.03%;34;6.81%;50;10.02%;499
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;38;5.1%;36;4.83%;452;60.67%;116;15.57%;50;6.71%;53;7.11%;745
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;3;4.84%;3;4.84%;33;53.23%;8;12.9%;5;8.06%;10;16.13%;62
CENTRO-OESTE;52;GO;521480;NOVA AURORA;1;2.38%;2;4.76%;31;73.81%;6;14.29%;1;2.38%;1;2.38%;42
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;18;5.94%;12;3.96%;155;51.16%;55;18.15%;30;9.9%;33;10.89%;303
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;9;3.6%;10;4%;150;60%;43;17.2%;20;8%;18;7.2%;250
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;1;0.76%;3;2.29%;94;71.76%;20;15.27%;10;7.63%;3;2.29%;131
CENTRO-OESTE;52;GO;521490;NOVA ROMA;7;6.19%;14;12.39%;66;58.41%;12;10.62%;5;4.42%;9;7.96%;113
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;11;9.65%;5;4.39%;69;60.53%;22;19.3%;3;2.63%;4;3.51%;114
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;1;1%;4;4%;68;68%;15;15%;5;5%;7;7%;100
CENTRO-OESTE;52;GO;521523;NOVO GAMA;106;4.95%;103;4.81%;1.360;63.46%;263;12.27%;138;6.44%;173;8.07%;2.143
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;9;6.52%;11;7.97%;77;55.8%;17;12.32%;10;7.25%;14;10.14%;138
CENTRO-OESTE;52;GO;521530;ORIZONA;7;3.83%;2;1.09%;70;38.25%;28;15.3%;27;14.75%;49;26.78%;183
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;3;3.19%;5;5.32%;61;64.89%;17;18.09%;3;3.19%;5;5.32%;94
CENTRO-OESTE;52;GO;521550;OUVIDOR;3;2.94%;4;3.92%;55;53.92%;13;12.75%;14;13.73%;13;12.75%;102
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;24;3.77%;21;3.3%;311;48.82%;75;11.77%;54;8.48%;152;23.86%;637
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;12;10.71%;7;6.25%;54;48.21%;22;19.64%;9;8.04%;8;7.14%;112
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;109;33.33%;20;6.12%;123;37.61%;25;7.65%;23;7.03%;27;8.26%;327
CENTRO-OESTE;52;GO;521580;PALMELO;0;-;1;2.22%;28;62.22%;7;15.56%;3;6.67%;6;13.33%;45
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;1;2.13%;0;-;26;55.32%;5;10.64%;4;8.51%;11;23.4%;47
CENTRO-OESTE;52;GO;521600;PANAMA;6;7.32%;2;2.44%;46;56.1%;15;18.29%;3;3.66%;10;12.2%;82
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;2;1.42%;2;1.42%;89;63.12%;24;17.02%;9;6.38%;15;10.64%;141
CENTRO-OESTE;52;GO;521640;PARAUNA;11;4.42%;8;3.21%;122;49%;46;18.47%;27;10.84%;35;14.06%;249
CENTRO-OESTE;52;GO;521645;PEROLANDIA;4;3.64%;3;2.73%;60;54.55%;23;20.91%;12;10.91%;8;7.27%;110
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;5;3.18%;5;3.18%;91;57.96%;32;20.38%;15;9.55%;9;5.73%;157
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;6;7.89%;3;3.95%;33;43.42%;15;19.74%;9;11.84%;10;13.16%;76
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;10;2.62%;12;3.14%;236;61.78%;69;18.06%;29;7.59%;26;6.81%;382
CENTRO-OESTE;52;GO;521720;PIRANHAS;10;3.17%;5;1.59%;177;56.19%;72;22.86%;27;8.57%;24;7.62%;315
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;13;2.48%;16;3.05%;333;63.43%;93;17.71%;45;8.57%;25;4.76%;525
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;13;3.44%;17;4.5%;147;38.89%;56;14.81%;59;15.61%;86;22.75%;378
CENTRO-OESTE;52;GO;521760;PLANALTINA;106;4.44%;121;5.07%;1.477;61.88%;321;13.45%;165;6.91%;197;8.25%;2.387
