Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;21;17.36%;17;14.05%;57;47.11%;8;6.61%;5;4.13%;13;10.74%;121
CENTRO-OESTE;52;GO;520310;BALIZA;8;7.55%;2;1.89%;45;42.45%;19;17.92%;14;13.21%;18;16.98%;106
CENTRO-OESTE;52;GO;520320;BARRO ALTO;4;1.49%;9;3.36%;156;58.21%;51;19.03%;26;9.7%;22;8.21%;268
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;43;6.27%;27;3.94%;349;50.87%;121;17.64%;77;11.22%;69;10.06%;686
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;4;2.14%;5;2.67%;114;60.96%;31;16.58%;13;6.95%;20;10.7%;187
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;16;3.83%;16;3.83%;221;52.87%;65;15.55%;42;10.05%;58;13.88%;418
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;5;2.5%;5;2.5%;86;43%;36;18%;27;13.5%;41;20.5%;200
CENTRO-OESTE;52;GO;520357;BONOPOLIS;3;4.55%;3;4.55%;44;66.67%;7;10.61%;2;3.03%;7;10.61%;66
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;3;2.8%;3;2.8%;53;49.53%;10;9.35%;7;6.54%;31;28.97%;107
CENTRO-OESTE;52;GO;520380;BRITANIA;10;6.99%;4;2.8%;96;67.13%;20;13.99%;7;4.9%;6;4.2%;143
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;0;-;0;-;36;48%;36;48%;3;4%;0;-;75
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;2;3.23%;2;3.23%;45;72.58%;9;14.52%;2;3.23%;2;3.23%;62
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;17;15.45%;8;7.27%;64;58.18%;11;10%;2;1.82%;8;7.27%;110
CENTRO-OESTE;52;GO;520400;CABECEIRAS;12;1.9%;12;1.9%;443;69.98%;102;16.11%;34;5.37%;30;4.74%;633
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;4;1.17%;10;2.92%;224;65.5%;72;21.05%;19;5.56%;13;3.8%;342
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;2;2.44%;54;65.85%;12;14.63%;8;9.76%;6;7.32%;82
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;9;6.34%;3;2.11%;70;49.3%;24;16.9%;17;11.97%;19;13.38%;142
CENTRO-OESTE;52;GO;520430;CACU;5;2.16%;10;4.31%;146;62.93%;32;13.79%;21;9.05%;18;7.76%;232
CENTRO-OESTE;52;GO;520440;CAIAPONIA;3;0.77%;3;0.77%;239;60.97%;89;22.7%;32;8.16%;26;6.63%;392
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;41;7.72%;26;4.9%;315;59.32%;93;17.51%;29;5.46%;27;5.08%;531
CENTRO-OESTE;52;GO;520455;CALDAZINHA;6;5.77%;3;2.88%;50;48.08%;17;16.35%;15;14.42%;13;12.5%;104
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;5;3.88%;1;0.78%;69;53.49%;22;17.05%;16;12.4%;16;12.4%;129
CENTRO-OESTE;52;GO;520465;CAMPINACU;2;1.96%;3;2.94%;74;72.55%;9;8.82%;8;7.84%;6;5.88%;102
CENTRO-OESTE;52;GO;520470;CAMPINORTE;5;2.53%;5;2.53%;132;66.67%;28;14.14%;17;8.59%;11;5.56%;198
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;3;4.35%;3;4.35%;46;66.67%;12;17.39%;4;5.8%;1;1.45%;69
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;2;1.03%;4;2.05%;125;64.1%;45;23.08%;12;6.15%;7;3.59%;195
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;44;6.11%;49;6.81%;439;60.97%;99;13.75%;45;6.25%;44;6.11%;720
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;8;3.79%;12;5.69%;139;65.88%;31;14.69%;13;6.16%;8;3.79%;211
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;16;5.61%;9;3.16%;156;54.74%;43;15.09%;33;11.58%;28;9.82%;285
CENTRO-OESTE;52;GO;520505;CASTELANDIA;0;-;2;2.3%;47;54.02%;21;24.14%;10;11.49%;7;8.05%;87
CENTRO-OESTE;52;GO;520510;CATALAO;14;2.78%;16;3.18%;325;64.61%;84;16.7%;39;7.75%;25;4.97%;503
CENTRO-OESTE;52;GO;520520;CATURAI;4;1.71%;7;2.99%;128;54.7%;49;20.94%;25;10.68%;21;8.97%;234
CENTRO-OESTE;52;GO;520530;CAVALCANTE;21;3.89%;23;4.26%;336;62.22%;75;13.89%;37;6.85%;48;8.89%;540
CENTRO-OESTE;52;GO;520540;CERES;11;1.94%;13;2.3%;382;67.49%;81;14.31%;51;9.01%;28;4.95%;566
CENTRO-OESTE;52;GO;520545;CEZARINA;5;4.17%;3;2.5%;76;63.33%;17;14.17%;11;9.17%;8;6.67%;120
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;4;1.14%;5;1.42%;222;63.25%;83;23.65%;24;6.84%;13;3.7%;351
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;57;4.03%;49;3.47%;859;60.79%;245;17.34%;104;7.36%;99;7.01%;1.413
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;22;3.71%;25;4.22%;312;52.61%;114;19.22%;58;9.78%;62;10.46%;593
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;19;8.88%;5;2.34%;107;50%;43;20.09%;17;7.94%;23;10.75%;214
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;0;-;0;-;23;60.53%;9;23.68%;3;7.89%;3;7.89%;38
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;14;4.2%;11;3.3%;217;65.17%;50;15.02%;13;3.9%;28;8.41%;333
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;3;1.52%;5;2.54%;121;61.42%;36;18.27%;15;7.61%;17;8.63%;197
CENTRO-OESTE;52;GO;520620;CRISTALINA;42;4.43%;31;3.27%;556;58.59%;164;17.28%;83;8.75%;73;7.69%;949
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;0;-;0;-;28;62.22%;7;15.56%;6;13.33%;4;8.89%;45
CENTRO-OESTE;52;GO;520640;CRIXAS;12;4.33%;5;1.81%;114;41.16%;62;22.38%;36;13%;48;17.33%;277
CENTRO-OESTE;52;GO;520650;CROMINIA;9;5.11%;7;3.98%;85;48.3%;20;11.36%;15;8.52%;40;22.73%;176
CENTRO-OESTE;52;GO;520660;CUMARI;4;8.16%;2;4.08%;28;57.14%;6;12.24%;3;6.12%;6;12.24%;49
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;5;2.78%;3;1.67%;102;56.67%;33;18.33%;18;10%;19;10.56%;180
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;2;2.6%;3;3.9%;47;61.04%;16;20.78%;2;2.6%;7;9.09%;77
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;2;2%;1;1%;68;68%;21;21%;7;7%;1;1%;100
CENTRO-OESTE;52;GO;520710;DIORAMA;3;3.66%;2;2.44%;48;58.54%;18;21.95%;3;3.66%;8;9.76%;82
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;5;2.99%;7;4.19%;117;70.06%;22;13.17%;8;4.79%;8;4.79%;167
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;2;1.33%;1;0.67%;103;68.67%;30;20%;8;5.33%;6;4%;150
CENTRO-OESTE;52;GO;520735;EDEALINA;3;1.38%;4;1.83%;149;68.35%;38;17.43%;18;8.26%;6;2.75%;218
CENTRO-OESTE;52;GO;520740;EDEIA;0;-;1;0.8%;76;60.8%;28;22.4%;13;10.4%;7;5.6%;125
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;1;2.44%;1;2.44%;28;68.29%;6;14.63%;3;7.32%;2;4.88%;41
CENTRO-OESTE;52;GO;520753;FAINA;10;4.5%;8;3.6%;117;52.7%;39;17.57%;20;9.01%;28;12.61%;222
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;0;-;2;1.71%;66;56.41%;29;24.79%;12;10.26%;8;6.84%;117
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;4;1.27%;11;3.5%;210;66.88%;60;19.11%;14;4.46%;15;4.78%;314
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;18;5.22%;25;7.25%;200;57.97%;52;15.07%;24;6.96%;26;7.54%;345
CENTRO-OESTE;52;GO;520800;FORMOSA;114;5.14%;92;4.15%;1.402;63.24%;349;15.74%;158;7.13%;102;4.6%;2.217
CENTRO-OESTE;52;GO;520810;FORMOSO;9;4.97%;5;2.76%;106;58.56%;25;13.81%;11;6.08%;25;13.81%;181
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;5;5.05%;3;3.03%;48;48.48%;24;24.24%;13;13.13%;6;6.06%;99
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;1;0.63%;6;3.75%;112;70%;20;12.5%;11;6.88%;10;6.25%;160
CENTRO-OESTE;52;GO;520850;GOIANDIRA;3;3.66%;2;2.44%;48;58.54%;13;15.85%;9;10.98%;7;8.54%;82
CENTRO-OESTE;52;GO;520860;GOIANESIA;26;1.87%;27;1.94%;902;64.85%;253;18.19%;101;7.26%;82;5.9%;1.391
CENTRO-OESTE;52;GO;520870;GOIANIA;195;3.22%;163;2.69%;3.898;64.37%;1.069;17.65%;397;6.56%;334;5.52%;6.056
CENTRO-OESTE;52;GO;520880;GOIANIRA;29;3.46%;32;3.81%;493;58.76%;153;18.24%;71;8.46%;61;7.27%;839
CENTRO-OESTE;52;GO;520890;GOIAS;28;6.42%;17;3.9%;232;53.21%;71;16.28%;34;7.8%;54;12.39%;436
CENTRO-OESTE;52;GO;520910;GOIATUBA;20;4.96%;21;5.21%;233;57.82%;63;15.63%;35;8.68%;31;7.69%;403
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;4;2.53%;8;5.06%;106;67.09%;25;15.82%;12;7.59%;3;1.9%;158
CENTRO-OESTE;52;GO;520920;GUAPO;27;8.79%;14;4.56%;156;50.81%;54;17.59%;23;7.49%;33;10.75%;307
CENTRO-OESTE;52;GO;520929;GUARAITA;4;5.41%;5;6.76%;44;59.46%;15;20.27%;2;2.7%;4;5.41%;74
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;3;1.72%;7;4.02%;100;57.47%;34;19.54%;10;5.75%;20;11.49%;174
CENTRO-OESTE;52;GO;520945;GUARINOS;4;3.39%;4;3.39%;83;70.34%;18;15.25%;7;5.93%;2;1.69%;118
CENTRO-OESTE;52;GO;520960;HEITORAI;4;3.92%;3;2.94%;55;53.92%;18;17.65%;11;10.78%;11;10.78%;102
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;21;3.73%;21;3.73%;366;65.01%;86;15.28%;32;5.68%;37;6.57%;563
CENTRO-OESTE;52;GO;520980;HIDROLINA;3;3.61%;3;3.61%;48;57.83%;16;19.28%;8;9.64%;5;6.02%;83
CENTRO-OESTE;52;GO;520990;IACIARA;23;3.45%;23;3.45%;445;66.82%;107;16.07%;39;5.86%;29;4.35%;666
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;2;1.6%;2;1.6%;85;68%;21;16.8%;7;5.6%;8;6.4%;125
CENTRO-OESTE;52;GO;520995;INDIARA;8;3.25%;5;2.03%;132;53.66%;50;20.33%;22;8.94%;29;11.79%;246
CENTRO-OESTE;52;GO;521000;INHUMAS;27;3.56%;33;4.35%;471;62.06%;123;16.21%;57;7.51%;48;6.32%;759
CENTRO-OESTE;52;GO;521010;IPAMERI;35;5.97%;40;6.83%;313;53.41%;100;17.06%;47;8.02%;51;8.7%;586
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;2;2.74%;2;2.74%;43;58.9%;13;17.81%;10;13.7%;3;4.11%;73
CENTRO-OESTE;52;GO;521020;IPORA;28;8.36%;18;5.37%;175;52.24%;59;17.61%;25;7.46%;30;8.96%;335
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;7;5.65%;5;4.03%;96;77.42%;6;4.84%;5;4.03%;5;4.03%;124
CENTRO-OESTE;52;GO;521040;ITABERAI;36;4.59%;31;3.95%;425;54.21%;135;17.22%;80;10.2%;77;9.82%;784
CENTRO-OESTE;52;GO;521056;ITAGUARI;4;5.88%;7;10.29%;41;60.29%;10;14.71%;3;4.41%;3;4.41%;68
CENTRO-OESTE;52;GO;521060;ITAGUARU;1;0.97%;0;-;72;69.9%;18;17.48%;11;10.68%;1;0.97%;103
CENTRO-OESTE;52;GO;521080;ITAJA;0;-;2;1.85%;78;72.22%;15;13.89%;10;9.26%;3;2.78%;108
CENTRO-OESTE;52;GO;521090;ITAPACI;23;5.84%;9;2.28%;185;46.95%;73;18.53%;43;10.91%;61;15.48%;394
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;6;4.32%;5;3.6%;63;45.32%;22;15.83%;8;5.76%;35;25.18%;139
CENTRO-OESTE;52;GO;521120;ITAPURANGA;9;2.77%;10;3.08%;187;57.54%;64;19.69%;26;8%;29;8.92%;325
CENTRO-OESTE;52;GO;521130;ITARUMA;1;1.14%;2;2.27%;60;68.18%;16;18.18%;5;5.68%;4;4.55%;88
CENTRO-OESTE;52;GO;521140;ITAUCU;3;1.41%;5;2.35%;127;59.62%;45;21.13%;23;10.8%;10;4.69%;213
CENTRO-OESTE;52;GO;521150;ITUMBIARA;46;3.85%;50;4.19%;660;55.28%;212;17.76%;118;9.88%;108;9.05%;1.194
CENTRO-OESTE;52;GO;521160;IVOLANDIA;3;4.17%;3;4.17%;27;37.5%;19;26.39%;9;12.5%;11;15.28%;72
CENTRO-OESTE;52;GO;521170;JANDAIA;1;0.48%;8;3.86%;130;62.8%;41;19.81%;17;8.21%;10;4.83%;207
CENTRO-OESTE;52;GO;521180;JARAGUA;19;2.66%;17;2.38%;430;60.14%;152;21.26%;45;6.29%;52;7.27%;715
CENTRO-OESTE;52;GO;521190;JATAI;23;1.2%;44;2.3%;1.281;67.1%;360;18.86%;142;7.44%;59;3.09%;1.909
CENTRO-OESTE;52;GO;521200;JAUPACI;0;-;5;7.69%;45;69.23%;6;9.23%;5;7.69%;4;6.15%;65
CENTRO-OESTE;52;GO;521205;JESUPOLIS;1;1.14%;1;1.14%;52;59.09%;22;25%;8;9.09%;4;4.55%;88
CENTRO-OESTE;52;GO;521210;JOVIANIA;2;2.47%;3;3.7%;37;45.68%;22;27.16%;7;8.64%;10;12.35%;81
CENTRO-OESTE;52;GO;521220;JUSSARA;9;4.31%;16;7.66%;100;47.85%;36;17.22%;23;11%;25;11.96%;209
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;1;5.88%;0;-;5;29.41%;4;23.53%;2;11.76%;5;29.41%;17
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;25;8.77%;20;7.02%;149;52.28%;50;17.54%;19;6.67%;22;7.72%;285
CENTRO-OESTE;52;GO;521250;LUZIANIA;90;2.18%;100;2.42%;2.692;65.21%;770;18.65%;273;6.61%;203;4.92%;4.128
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;4;8%;3;6%;15;30%;7;14%;8;16%;13;26%;50
CENTRO-OESTE;52;GO;521270;MAMBAI;31;8.49%;15;4.11%;183;50.14%;67;18.36%;39;10.68%;30;8.22%;365
CENTRO-OESTE;52;GO;521280;MARA ROSA;5;2.49%;1;0.5%;122;60.7%;41;20.4%;19;9.45%;13;6.47%;201
CENTRO-OESTE;52;GO;521290;MARZAGAO;2;2.6%;2;2.6%;49;63.64%;11;14.29%;8;10.39%;5;6.49%;77
CENTRO-OESTE;52;GO;521295;MATRINCHA;0;-;3;5.36%;33;58.93%;12;21.43%;3;5.36%;5;8.93%;56
CENTRO-OESTE;52;GO;521300;MAURILANDIA;2;0.85%;10;4.26%;139;59.15%;46;19.57%;22;9.36%;16;6.81%;235
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;5;4.55%;10;9.09%;66;60%;21;19.09%;4;3.64%;4;3.64%;110
CENTRO-OESTE;52;GO;521308;MINACU;20;3.4%;32;5.44%;353;60.03%;101;17.18%;43;7.31%;39;6.63%;588
CENTRO-OESTE;52;GO;521310;MINEIROS;20;2.09%;17;1.78%;512;53.5%;178;18.6%;117;12.23%;113;11.81%;957
CENTRO-OESTE;52;GO;521340;MOIPORA;1;3.03%;2;6.06%;21;63.64%;6;18.18%;1;3.03%;2;6.06%;33
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;29;9.6%;19;6.29%;172;56.95%;39;12.91%;26;8.61%;17;5.63%;302
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;7;5.43%;7;5.43%;90;69.77%;14;10.85%;5;3.88%;6;4.65%;129
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;6;4.92%;6;4.92%;74;60.66%;18;14.75%;11;9.02%;7;5.74%;122
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;5;3.94%;9;7.09%;73;57.48%;19;14.96%;14;11.02%;7;5.51%;127
CENTRO-OESTE;52;GO;521380;MORRINHOS;27;3.86%;21;3%;339;48.5%;97;13.88%;88;12.59%;127;18.17%;699
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;1;2.22%;2;4.44%;32;71.11%;7;15.56%;1;2.22%;2;4.44%;45
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;4;4.71%;5;5.88%;49;57.65%;11;12.94%;8;9.41%;8;9.41%;85
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;7;9.86%;1;1.41%;21;29.58%;9;12.68%;3;4.23%;30;42.25%;71
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;4;2.55%;10;6.37%;90;57.32%;28;17.83%;15;9.55%;10;6.37%;157
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;0;-;5;5.68%;56;63.64%;14;15.91%;0;-;13;14.77%;88
CENTRO-OESTE;52;GO;521440;NAZARIO;5;3.27%;6;3.92%;84;54.9%;30;19.61%;16;10.46%;12;7.84%;153
CENTRO-OESTE;52;GO;521450;NEROPOLIS;22;4.58%;18;3.75%;276;57.5%;77;16.04%;40;8.33%;47;9.79%;480
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;47;5.9%;44;5.52%;454;56.96%;131;16.44%;61;7.65%;60;7.53%;797
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;1;4%;1;4%;12;48%;4;16%;5;20%;2;8%;25
CENTRO-OESTE;52;GO;521480;NOVA AURORA;1;2.27%;2;4.55%;32;72.73%;7;15.91%;1;2.27%;1;2.27%;44
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;10;4.2%;8;3.36%;122;51.26%;34;14.29%;28;11.76%;36;15.13%;238
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;9;4.04%;8;3.59%;159;71.3%;26;11.66%;13;5.83%;8;3.59%;223
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;0;-;3;4.92%;50;81.97%;3;4.92%;3;4.92%;2;3.28%;61
CENTRO-OESTE;52;GO;521490;NOVA ROMA;1;0.99%;4;3.96%;66;65.35%;15;14.85%;7;6.93%;8;7.92%;101
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;10;5.18%;6;3.11%;128;66.32%;37;19.17%;11;5.7%;1;0.52%;193
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;3;5%;3;5%;41;68.33%;11;18.33%;1;1.67%;1;1.67%;60
CENTRO-OESTE;52;GO;521523;NOVO GAMA;85;3.18%;84;3.14%;1.658;62.07%;468;17.52%;205;7.68%;171;6.4%;2.671
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;7;5.56%;8;6.35%;65;51.59%;13;10.32%;16;12.7%;17;13.49%;126
CENTRO-OESTE;52;GO;521530;ORIZONA;11;5.53%;10;5.03%;111;55.78%;29;14.57%;22;11.06%;16;8.04%;199
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;2;2.2%;2;2.2%;60;65.93%;18;19.78%;8;8.79%;1;1.1%;91
CENTRO-OESTE;52;GO;521550;OUVIDOR;4;5.41%;1;1.35%;37;50%;14;18.92%;6;8.11%;12;16.22%;74
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;19;3.63%;21;4.02%;310;59.27%;85;16.25%;45;8.6%;43;8.22%;523
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;2;2.53%;3;3.8%;44;55.7%;7;8.86%;10;12.66%;13;16.46%;79
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;55;18.9%;17;5.84%;162;55.67%;22;7.56%;17;5.84%;18;6.19%;291
CENTRO-OESTE;52;GO;521580;PALMELO;0;-;0;-;26;66.67%;8;20.51%;2;5.13%;3;7.69%;39
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;1;2.86%;1;2.86%;19;54.29%;4;11.43%;4;11.43%;6;17.14%;35
CENTRO-OESTE;52;GO;521600;PANAMA;2;5.71%;2;5.71%;15;42.86%;7;20%;4;11.43%;5;14.29%;35
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;1;1.37%;1;1.37%;40;54.79%;15;20.55%;5;6.85%;11;15.07%;73
CENTRO-OESTE;52;GO;521640;PARAUNA;3;1.38%;4;1.84%;111;51.15%;43;19.82%;21;9.68%;35;16.13%;217
CENTRO-OESTE;52;GO;521645;PEROLANDIA;1;1.02%;1;1.02%;64;65.31%;17;17.35%;11;11.22%;4;4.08%;98
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;6;3.39%;11;6.21%;104;58.76%;28;15.82%;11;6.21%;17;9.6%;177
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;4;5.8%;1;1.45%;38;55.07%;17;24.64%;5;7.25%;4;5.8%;69
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;10;2.63%;13;3.42%;239;62.89%;60;15.79%;35;9.21%;23;6.05%;380
CENTRO-OESTE;52;GO;521720;PIRANHAS;3;1.24%;5;2.07%;148;61.16%;52;21.49%;24;9.92%;10;4.13%;242
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;13;2.65%;16;3.27%;299;61.02%;94;19.18%;31;6.33%;37;7.55%;490
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;22;7.21%;15;4.92%;144;47.21%;48;15.74%;34;11.15%;42;13.77%;305
CENTRO-OESTE;52;GO;521760;PLANALTINA;107;5.02%;108;5.06%;1.366;64.04%;278;13.03%;136;6.38%;138;6.47%;2.133
CENTRO-OESTE;52;GO;521770;PONTALINA;13;3.49%;14;3.75%;245;65.68%;57;15.28%;16;4.29%;28;7.51%;373
