Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
CENTRO-OESTE;52;GO;520280;AVELINOPOLIS;8;9.41%;5;5.88%;23;27.06%;9;10.59%;12;14.12%;28;32.94%;85
CENTRO-OESTE;52;GO;520310;BALIZA;6;8.45%;4;5.63%;34;47.89%;11;15.49%;7;9.86%;9;12.68%;71
CENTRO-OESTE;52;GO;520320;BARRO ALTO;0;-;2;9.09%;14;63.64%;4;18.18%;2;9.09%;0;-;22
CENTRO-OESTE;52;GO;520330;BELA VISTA DE GOIAS;18;4.7%;13;3.39%;204;53.26%;65;16.97%;43;11.23%;40;10.44%;383
CENTRO-OESTE;52;GO;520340;BOM JARDIM DE GOIAS;1;1.69%;1;1.69%;36;61.02%;8;13.56%;3;5.08%;10;16.95%;59
CENTRO-OESTE;52;GO;520350;BOM JESUS DE GOIAS;24;6.59%;28;7.69%;220;60.44%;37;10.16%;24;6.59%;31;8.52%;364
CENTRO-OESTE;52;GO;520355;BONFINOPOLIS;1;1.37%;3;4.11%;36;49.32%;19;26.03%;11;15.07%;3;4.11%;73
CENTRO-OESTE;52;GO;520357;BONOPOLIS;6;9.68%;5;8.06%;29;46.77%;10;16.13%;6;9.68%;6;9.68%;62
CENTRO-OESTE;52;GO;520360;BRAZABRANTES;11;10.09%;2;1.83%;56;51.38%;21;19.27%;8;7.34%;11;10.09%;109
CENTRO-OESTE;52;GO;520380;BRITANIA;6;4.38%;3;2.19%;90;65.69%;22;16.06%;11;8.03%;5;3.65%;137
CENTRO-OESTE;52;GO;520390;BURITI ALEGRE;2;2.22%;3;3.33%;56;62.22%;14;15.56%;13;14.44%;2;2.22%;90
CENTRO-OESTE;52;GO;520393;BURITI DE GOIAS;0;-;2;10.53%;14;73.68%;2;10.53%;1;5.26%;0;-;19
CENTRO-OESTE;52;GO;520396;BURITINOPOLIS;5;3.14%;7;4.4%;99;62.26%;24;15.09%;10;6.29%;14;8.81%;159
CENTRO-OESTE;52;GO;520400;CABECEIRAS;70;20.53%;29;8.5%;160;46.92%;36;10.56%;22;6.45%;24;7.04%;341
CENTRO-OESTE;52;GO;520410;CACHOEIRA ALTA;7;2.28%;11;3.58%;215;70.03%;50;16.29%;15;4.89%;9;2.93%;307
CENTRO-OESTE;52;GO;520420;CACHOEIRA DE GOIAS;0;-;0;-;24;64.86%;10;27.03%;3;8.11%;0;-;37
CENTRO-OESTE;52;GO;520425;CACHOEIRA DOURADA;4;5.63%;5;7.04%;36;50.7%;11;15.49%;5;7.04%;10;14.08%;71
CENTRO-OESTE;52;GO;520430;CACU;1;0.5%;5;2.49%;151;75.12%;28;13.93%;9;4.48%;7;3.48%;201
CENTRO-OESTE;52;GO;520440;CAIAPONIA;1;0.48%;3;1.44%;149;71.63%;42;20.19%;7;3.37%;6;2.88%;208
CENTRO-OESTE;52;GO;520450;CALDAS NOVAS;4;1.41%;5;1.76%;200;70.42%;51;17.96%;11;3.87%;13;4.58%;284
CENTRO-OESTE;52;GO;520455;CALDAZINHA;3;2.52%;8;6.72%;77;64.71%;11;9.24%;13;10.92%;7;5.88%;119
CENTRO-OESTE;52;GO;520460;CAMPESTRE DE GOIAS;6;4.62%;9;6.92%;78;60%;14;10.77%;10;7.69%;13;10%;130
CENTRO-OESTE;52;GO;520465;CAMPINACU;0;-;3;13.64%;13;59.09%;2;9.09%;1;4.55%;3;13.64%;22
CENTRO-OESTE;52;GO;520470;CAMPINORTE;3;2.1%;4;2.8%;108;75.52%;18;12.59%;7;4.9%;3;2.1%;143
CENTRO-OESTE;52;GO;520480;CAMPO ALEGRE DE GOIAS;3;2.22%;2;1.48%;92;68.15%;20;14.81%;6;4.44%;12;8.89%;135
CENTRO-OESTE;52;GO;520485;CAMPO LIMPO DE GOIAS;0;-;0;-;5;83.33%;0;-;1;16.67%;0;-;6
CENTRO-OESTE;52;GO;520490;CAMPOS BELOS;42;6.67%;38;6.03%;358;56.83%;109;17.3%;34;5.4%;49;7.78%;630
CENTRO-OESTE;52;GO;520495;CAMPOS VERDES;8;4.94%;11;6.79%;101;62.35%;28;17.28%;3;1.85%;11;6.79%;162
CENTRO-OESTE;52;GO;520500;CARMO DO RIO VERDE;3;2.34%;9;7.03%;79;61.72%;17;13.28%;8;6.25%;12;9.38%;128
CENTRO-OESTE;52;GO;520505;CASTELANDIA;0;-;1;3.57%;18;64.29%;4;14.29%;4;14.29%;1;3.57%;28
CENTRO-OESTE;52;GO;520510;CATALAO;11;2.97%;15;4.05%;242;65.41%;56;15.14%;26;7.03%;20;5.41%;370
CENTRO-OESTE;52;GO;520520;CATURAI;4;2.61%;7;4.58%;95;62.09%;31;20.26%;6;3.92%;10;6.54%;153
CENTRO-OESTE;52;GO;520530;CAVALCANTE;9;5.92%;8;5.26%;100;65.79%;19;12.5%;12;7.89%;4;2.63%;152
CENTRO-OESTE;52;GO;520540;CERES;11;5.85%;8;4.26%;118;62.77%;30;15.96%;11;5.85%;10;5.32%;188
CENTRO-OESTE;52;GO;520545;CEZARINA;1;4.35%;0;-;15;65.22%;4;17.39%;3;13.04%;0;-;23
CENTRO-OESTE;52;GO;520547;CHAPADAO DO CEU;5;0.77%;15;2.32%;459;71.05%;115;17.8%;40;6.19%;12;1.86%;646
CENTRO-OESTE;52;GO;520549;CIDADE OCIDENTAL;43;1.73%;60;2.42%;1.515;61.04%;495;19.94%;206;8.3%;163;6.57%;2.482
CENTRO-OESTE;52;GO;520551;COCALZINHO DE GOIAS;1;0.42%;5;2.11%;158;66.67%;48;20.25%;20;8.44%;5;2.11%;237
CENTRO-OESTE;52;GO;520552;COLINAS DO SUL;0;-;1;5.26%;9;47.37%;6;31.58%;2;10.53%;1;5.26%;19
CENTRO-OESTE;52;GO;520570;CORREGO DO OURO;0;-;0;-;27;67.5%;10;25%;2;5%;1;2.5%;40
CENTRO-OESTE;52;GO;520580;CORUMBA DE GOIAS;4;5%;3;3.75%;50;62.5%;13;16.25%;6;7.5%;4;5%;80
CENTRO-OESTE;52;GO;520590;CORUMBAIBA;4;1.78%;6;2.67%;108;48%;39;17.33%;29;12.89%;39;17.33%;225
CENTRO-OESTE;52;GO;520620;CRISTALINA;38;2.91%;53;4.06%;887;67.92%;200;15.31%;80;6.13%;48;3.68%;1.306
CENTRO-OESTE;52;GO;520630;CRISTIANOPOLIS;0;-;1;3.7%;21;77.78%;2;7.41%;2;7.41%;1;3.7%;27
CENTRO-OESTE;52;GO;520640;CRIXAS;11;4.04%;9;3.31%;146;53.68%;49;18.01%;29;10.66%;28;10.29%;272
CENTRO-OESTE;52;GO;520650;CROMINIA;2;2.6%;2;2.6%;35;45.45%;17;22.08%;10;12.99%;11;14.29%;77
CENTRO-OESTE;52;GO;520660;CUMARI;1;50%;0;-;1;50%;0;-;0;-;0;-;2
CENTRO-OESTE;52;GO;520670;DAMIANOPOLIS;1;2.22%;0;-;25;55.56%;12;26.67%;7;15.56%;0;-;45
CENTRO-OESTE;52;GO;520680;DAMOLANDIA;0;-;5;5.75%;64;73.56%;10;11.49%;4;4.6%;4;4.6%;87
CENTRO-OESTE;52;GO;520690;DAVINOPOLIS;3;5.36%;1;1.79%;42;75%;7;12.5%;2;3.57%;1;1.79%;56
CENTRO-OESTE;52;GO;520710;DIORAMA;0;-;1;2.04%;36;73.47%;7;14.29%;4;8.16%;1;2.04%;49
CENTRO-OESTE;52;GO;520830;DIVINOPOLIS DE GOIAS;4;6.9%;2;3.45%;31;53.45%;13;22.41%;4;6.9%;4;6.9%;58
CENTRO-OESTE;52;GO;520725;DOVERLANDIA;3;1.95%;9;5.84%;99;64.29%;28;18.18%;9;5.84%;6;3.9%;154
CENTRO-OESTE;52;GO;520735;EDEALINA;0;-;0;-;12;75%;1;6.25%;2;12.5%;1;6.25%;16
CENTRO-OESTE;52;GO;520740;EDEIA;1;0.4%;3;1.2%;182;72.51%;43;17.13%;14;5.58%;8;3.19%;251
CENTRO-OESTE;52;GO;520750;ESTRELA DO NORTE;1;3.13%;0;-;19;59.38%;8;25%;1;3.13%;3;9.38%;32
CENTRO-OESTE;52;GO;520753;FAINA;6;5.45%;6;5.45%;46;41.82%;18;16.36%;14;12.73%;20;18.18%;110
CENTRO-OESTE;52;GO;520760;FAZENDA NOVA;2;2.33%;3;3.49%;58;67.44%;10;11.63%;8;9.3%;5;5.81%;86
CENTRO-OESTE;52;GO;520780;FIRMINOPOLIS;1;1.16%;3;3.49%;68;79.07%;8;9.3%;4;4.65%;2;2.33%;86
CENTRO-OESTE;52;GO;520790;FLORES DE GOIAS;10;2.79%;17;4.75%;241;67.32%;49;13.69%;22;6.15%;19;5.31%;358
CENTRO-OESTE;52;GO;520800;FORMOSA;26;2.44%;42;3.94%;682;64.04%;197;18.5%;78;7.32%;40;3.76%;1.065
CENTRO-OESTE;52;GO;520810;FORMOSO;1;1.04%;2;2.08%;63;65.63%;19;19.79%;4;4.17%;7;7.29%;96
CENTRO-OESTE;52;GO;520815;GAMELEIRA DE GOIAS;0;-;1;1.72%;35;60.34%;14;24.14%;5;8.62%;3;5.17%;58
CENTRO-OESTE;52;GO;520840;GOIANAPOLIS;8;5.26%;4;2.63%;87;57.24%;21;13.82%;13;8.55%;19;12.5%;152
CENTRO-OESTE;52;GO;520850;GOIANDIRA;0;-;4;3.6%;71;63.96%;20;18.02%;6;5.41%;10;9.01%;111
CENTRO-OESTE;52;GO;520860;GOIANESIA;18;4.46%;9;2.23%;268;66.34%;66;16.34%;26;6.44%;17;4.21%;404
CENTRO-OESTE;52;GO;520870;GOIANIA;369;4.05%;263;2.89%;5.183;56.92%;1.618;17.77%;581;6.38%;1.092;11.99%;9.106
CENTRO-OESTE;52;GO;520880;GOIANIRA;21;1.62%;59;4.56%;809;62.57%;274;21.19%;88;6.81%;42;3.25%;1.293
CENTRO-OESTE;52;GO;520890;GOIAS;24;9.41%;26;10.2%;129;50.59%;35;13.73%;17;6.67%;24;9.41%;255
CENTRO-OESTE;52;GO;520910;GOIATUBA;7;1.97%;20;5.62%;245;68.82%;50;14.04%;18;5.06%;16;4.49%;356
CENTRO-OESTE;52;GO;520915;GOUVELANDIA;1;4%;2;8%;17;68%;3;12%;1;4%;1;4%;25
CENTRO-OESTE;52;GO;520920;GUAPO;26;3.5%;32;4.31%;496;66.76%;98;13.19%;49;6.59%;42;5.65%;743
CENTRO-OESTE;52;GO;520929;GUARAITA;0;-;3;5.17%;41;70.69%;4;6.9%;2;3.45%;8;13.79%;58
CENTRO-OESTE;52;GO;520940;GUARANI DE GOIAS;2;3.45%;2;3.45%;36;62.07%;10;17.24%;1;1.72%;7;12.07%;58
CENTRO-OESTE;52;GO;520945;GUARINOS;0;-;3;3.9%;52;67.53%;12;15.58%;5;6.49%;5;6.49%;77
CENTRO-OESTE;52;GO;520960;HEITORAI;12;16.67%;6;8.33%;37;51.39%;10;13.89%;2;2.78%;5;6.94%;72
CENTRO-OESTE;52;GO;520970;HIDROLANDIA;6;3.24%;8;4.32%;108;58.38%;34;18.38%;23;12.43%;6;3.24%;185
CENTRO-OESTE;52;GO;520980;HIDROLINA;1;1.75%;2;3.51%;37;64.91%;13;22.81%;2;3.51%;2;3.51%;57
CENTRO-OESTE;52;GO;520990;IACIARA;6;2.93%;12;5.85%;130;63.41%;32;15.61%;9;4.39%;16;7.8%;205
CENTRO-OESTE;52;GO;520993;INACIOLANDIA;1;1.06%;4;4.26%;63;67.02%;17;18.09%;4;4.26%;5;5.32%;94
CENTRO-OESTE;52;GO;520995;INDIARA;4;2.9%;6;4.35%;95;68.84%;17;12.32%;9;6.52%;7;5.07%;138
CENTRO-OESTE;52;GO;521000;INHUMAS;21;2.82%;27;3.62%;470;63.09%;104;13.96%;78;10.47%;45;6.04%;745
CENTRO-OESTE;52;GO;521010;IPAMERI;8;2.51%;22;6.9%;191;59.87%;51;15.99%;24;7.52%;23;7.21%;319
CENTRO-OESTE;52;GO;521015;IPIRANGA DE GOIAS;0;-;0;-;9;75%;2;16.67%;0;-;1;8.33%;12
CENTRO-OESTE;52;GO;521020;IPORA;19;5.9%;7;2.17%;231;71.74%;31;9.63%;17;5.28%;17;5.28%;322
CENTRO-OESTE;52;GO;521030;ISRAELANDIA;3;6.67%;1;2.22%;22;48.89%;7;15.56%;5;11.11%;7;15.56%;45
CENTRO-OESTE;52;GO;521040;ITABERAI;36;5.87%;40;6.53%;325;53.02%;98;15.99%;51;8.32%;63;10.28%;613
CENTRO-OESTE;52;GO;521056;ITAGUARI;1;0.93%;3;2.78%;60;55.56%;26;24.07%;10;9.26%;8;7.41%;108
CENTRO-OESTE;52;GO;521060;ITAGUARU;4;3.1%;3;2.33%;84;65.12%;24;18.6%;10;7.75%;4;3.1%;129
CENTRO-OESTE;52;GO;521080;ITAJA;0;-;1;1.11%;59;65.56%;16;17.78%;6;6.67%;8;8.89%;90
CENTRO-OESTE;52;GO;521090;ITAPACI;22;10.19%;7;3.24%;93;43.06%;43;19.91%;24;11.11%;27;12.5%;216
CENTRO-OESTE;52;GO;521100;ITAPIRAPUA;3;4.62%;3;4.62%;35;53.85%;12;18.46%;4;6.15%;8;12.31%;65
CENTRO-OESTE;52;GO;521120;ITAPURANGA;6;2.47%;8;3.29%;150;61.73%;49;20.16%;19;7.82%;11;4.53%;243
CENTRO-OESTE;52;GO;521130;ITARUMA;0;-;5;4.85%;75;72.82%;15;14.56%;2;1.94%;6;5.83%;103
CENTRO-OESTE;52;GO;521140;ITAUCU;1;0.9%;2;1.8%;66;59.46%;19;17.12%;13;11.71%;10;9.01%;111
CENTRO-OESTE;52;GO;521150;ITUMBIARA;81;8.45%;60;6.26%;543;56.62%;138;14.39%;59;6.15%;78;8.13%;959
CENTRO-OESTE;52;GO;521160;IVOLANDIA;1;1.54%;1;1.54%;32;49.23%;16;24.62%;9;13.85%;6;9.23%;65
CENTRO-OESTE;52;GO;521170;JANDAIA;2;1.57%;6;4.72%;94;74.02%;16;12.6%;6;4.72%;3;2.36%;127
CENTRO-OESTE;52;GO;521180;JARAGUA;22;4.63%;24;5.05%;275;57.89%;72;15.16%;34;7.16%;48;10.11%;475
CENTRO-OESTE;52;GO;521190;JATAI;39;3.01%;60;4.63%;885;68.34%;192;14.83%;77;5.95%;42;3.24%;1.295
CENTRO-OESTE;52;GO;521200;JAUPACI;0;-;0;-;1;100%;0;-;0;-;0;-;1
CENTRO-OESTE;52;GO;521205;JESUPOLIS;1;1.28%;6;7.69%;49;62.82%;11;14.1%;6;7.69%;5;6.41%;78
CENTRO-OESTE;52;GO;521210;JOVIANIA;0;-;0;-;5;62.5%;2;25%;1;12.5%;0;-;8
CENTRO-OESTE;52;GO;521220;JUSSARA;4;3.57%;8;7.14%;55;49.11%;15;13.39%;8;7.14%;22;19.64%;112
CENTRO-OESTE;52;GO;521225;LAGOA SANTA;1;3.85%;1;3.85%;11;42.31%;2;7.69%;4;15.38%;7;26.92%;26
CENTRO-OESTE;52;GO;521230;LEOPOLDO DE BULHOES;21;9.91%;13;6.13%;105;49.53%;39;18.4%;21;9.91%;13;6.13%;212
CENTRO-OESTE;52;GO;521250;LUZIANIA;59;2.13%;120;4.33%;2.011;72.57%;355;12.81%;131;4.73%;95;3.43%;2.771
CENTRO-OESTE;52;GO;521260;MAIRIPOTABA;0;-;0;-;4;66.67%;0;-;0;-;2;33.33%;6
CENTRO-OESTE;52;GO;521270;MAMBAI;136;40.48%;43;12.8%;109;32.44%;38;11.31%;7;2.08%;3;0.89%;336
CENTRO-OESTE;52;GO;521280;MARA ROSA;8;4.85%;6;3.64%;97;58.79%;37;22.42%;9;5.45%;8;4.85%;165
CENTRO-OESTE;52;GO;521290;MARZAGAO;1;2.22%;2;4.44%;31;68.89%;5;11.11%;5;11.11%;1;2.22%;45
CENTRO-OESTE;52;GO;521295;MATRINCHA;0;-;2;2.25%;54;60.67%;16;17.98%;11;12.36%;6;6.74%;89
CENTRO-OESTE;52;GO;521300;MAURILANDIA;4;2.27%;5;2.84%;117;66.48%;24;13.64%;12;6.82%;14;7.95%;176
CENTRO-OESTE;52;GO;521305;MIMOSO DE GOIAS;19;20.65%;3;3.26%;38;41.3%;7;7.61%;2;2.17%;23;25%;92
CENTRO-OESTE;52;GO;521308;MINACU;19;5.08%;23;6.15%;207;55.35%;52;13.9%;32;8.56%;41;10.96%;374
CENTRO-OESTE;52;GO;521310;MINEIROS;43;4.08%;65;6.17%;608;57.69%;187;17.74%;87;8.25%;64;6.07%;1.054
CENTRO-OESTE;52;GO;521340;MOIPORA;0;-;5;25%;8;40%;3;15%;1;5%;3;15%;20
CENTRO-OESTE;52;GO;521350;MONTE ALEGRE DE GOIAS;10;7.75%;7;5.43%;71;55.04%;22;17.05%;9;6.98%;10;7.75%;129
CENTRO-OESTE;52;GO;521370;MONTES CLAROS DE GOIAS;11;8.94%;7;5.69%;77;62.6%;12;9.76%;8;6.5%;8;6.5%;123
CENTRO-OESTE;52;GO;521375;MONTIVIDIU;0;-;0;-;4;57.14%;2;28.57%;1;14.29%;0;-;7
CENTRO-OESTE;52;GO;521377;MONTIVIDIU DO NORTE;6;4.2%;6;4.2%;80;55.94%;30;20.98%;13;9.09%;8;5.59%;143
CENTRO-OESTE;52;GO;521380;MORRINHOS;14;4.24%;10;3.03%;165;50%;57;17.27%;29;8.79%;55;16.67%;330
CENTRO-OESTE;52;GO;521385;MORRO AGUDO DE GOIAS;0;-;0;-;3;75%;1;25%;0;-;0;-;4
CENTRO-OESTE;52;GO;521390;MOSSAMEDES;2;4.44%;2;4.44%;27;60%;5;11.11%;3;6.67%;6;13.33%;45
CENTRO-OESTE;52;GO;521400;MOZARLANDIA;18;4.3%;19;4.53%;265;63.25%;62;14.8%;32;7.64%;23;5.49%;419
CENTRO-OESTE;52;GO;521405;MUNDO NOVO;2;0.94%;6;2.83%;151;71.23%;35;16.51%;12;5.66%;6;2.83%;212
CENTRO-OESTE;52;GO;521410;MUTUNOPOLIS;0;-;1;1.72%;40;68.97%;8;13.79%;4;6.9%;5;8.62%;58
CENTRO-OESTE;52;GO;521440;NAZARIO;2;14.29%;1;7.14%;7;50%;1;7.14%;2;14.29%;1;7.14%;14
CENTRO-OESTE;52;GO;521450;NEROPOLIS;1;0.61%;3;1.83%;105;64.02%;35;21.34%;14;8.54%;6;3.66%;164
CENTRO-OESTE;52;GO;521460;NIQUELANDIA;3;1.8%;10;5.99%;113;67.66%;23;13.77%;11;6.59%;7;4.19%;167
CENTRO-OESTE;52;GO;521470;NOVA AMERICA;1;3.13%;0;-;20;62.5%;4;12.5%;5;15.63%;2;6.25%;32
CENTRO-OESTE;52;GO;521480;NOVA AURORA;0;-;1;1.64%;48;78.69%;7;11.48%;4;6.56%;1;1.64%;61
CENTRO-OESTE;52;GO;521483;NOVA CRIXAS;8;4.73%;10;5.92%;89;52.66%;25;14.79%;14;8.28%;23;13.61%;169
CENTRO-OESTE;52;GO;521486;NOVA GLORIA;2;1.19%;2;1.19%;104;61.9%;33;19.64%;9;5.36%;18;10.71%;168
CENTRO-OESTE;52;GO;521487;NOVA IGUACU DE GOIAS;1;1.32%;1;1.32%;54;71.05%;12;15.79%;7;9.21%;1;1.32%;76
CENTRO-OESTE;52;GO;521490;NOVA ROMA;9;7.56%;7;5.88%;68;57.14%;13;10.92%;9;7.56%;13;10.92%;119
CENTRO-OESTE;52;GO;521500;NOVA VENEZA;19;5.54%;19;5.54%;165;48.1%;61;17.78%;29;8.45%;50;14.58%;343
CENTRO-OESTE;52;GO;521520;NOVO BRASIL;0;-;0;-;10;66.67%;2;13.33%;2;13.33%;1;6.67%;15
CENTRO-OESTE;52;GO;521523;NOVO GAMA;31;4.38%;28;3.95%;419;59.18%;146;20.62%;56;7.91%;28;3.95%;708
CENTRO-OESTE;52;GO;521525;NOVO PLANALTO;7;17.95%;1;2.56%;15;38.46%;4;10.26%;7;17.95%;5;12.82%;39
CENTRO-OESTE;52;GO;521530;ORIZONA;4;1.91%;11;5.26%;129;61.72%;28;13.4%;18;8.61%;19;9.09%;209
CENTRO-OESTE;52;GO;521540;OURO VERDE DE GOIAS;0;-;0;-;28;75.68%;5;13.51%;3;8.11%;1;2.7%;37
CENTRO-OESTE;52;GO;521550;OUVIDOR;0;-;2;2.25%;63;70.79%;4;4.49%;7;7.87%;13;14.61%;89
CENTRO-OESTE;52;GO;521560;PADRE BERNARDO;10;7.81%;18;14.06%;80;62.5%;10;7.81%;4;3.13%;6;4.69%;128
CENTRO-OESTE;52;GO;521565;PALESTINA DE GOIAS;1;1.69%;2;3.39%;41;69.49%;10;16.95%;2;3.39%;3;5.08%;59
CENTRO-OESTE;52;GO;521570;PALMEIRAS DE GOIAS;8;7.41%;8;7.41%;55;50.93%;18;16.67%;9;8.33%;10;9.26%;108
CENTRO-OESTE;52;GO;521580;PALMELO;1;1.75%;1;1.75%;39;68.42%;11;19.3%;2;3.51%;3;5.26%;57
CENTRO-OESTE;52;GO;521590;PALMINOPOLIS;0;-;2;2.47%;47;58.02%;17;20.99%;5;6.17%;10;12.35%;81
CENTRO-OESTE;52;GO;521600;PANAMA;2;3.85%;2;3.85%;29;55.77%;11;21.15%;2;3.85%;6;11.54%;52
CENTRO-OESTE;52;GO;521630;PARANAIGUARA;0;-;0;-;7;77.78%;1;11.11%;0;-;1;11.11%;9
CENTRO-OESTE;52;GO;521640;PARAUNA;9;3.02%;8;2.68%;185;62.08%;60;20.13%;22;7.38%;14;4.7%;298
CENTRO-OESTE;52;GO;521645;PEROLANDIA;0;-;0;-;10;90.91%;1;9.09%;0;-;0;-;11
CENTRO-OESTE;52;GO;521680;PETROLINA DE GOIAS;3;5.66%;1;1.89%;31;58.49%;15;28.3%;1;1.89%;2;3.77%;53
CENTRO-OESTE;52;GO;521690;PILAR DE GOIAS;14;21.21%;7;10.61%;33;50%;6;9.09%;5;7.58%;1;1.52%;66
CENTRO-OESTE;52;GO;521710;PIRACANJUBA;7;3.68%;6;3.16%;103;54.21%;38;20%;17;8.95%;19;10%;190
CENTRO-OESTE;52;GO;521720;PIRANHAS;1;2.22%;6;13.33%;30;66.67%;6;13.33%;2;4.44%;0;-;45
CENTRO-OESTE;52;GO;521730;PIRENOPOLIS;20;4.99%;13;3.24%;243;60.6%;67;16.71%;23;5.74%;35;8.73%;401
CENTRO-OESTE;52;GO;521740;PIRES DO RIO;28;5.19%;31;5.75%;271;50.28%;83;15.4%;52;9.65%;74;13.73%;539
CENTRO-OESTE;52;GO;521760;PLANALTINA;53;10.33%;43;8.38%;296;57.7%;68;13.26%;34;6.63%;19;3.7%;513
CENTRO-OESTE;52;GO;521770;PONTALINA;0;-;4;3.57%;73;65.18%;25;22.32%;7;6.25%;3;2.68%;112
CENTRO-OESTE;52;GO;521800;PORANGATU;3;1.43%;7;3.33%;140;66.67%;34;16.19%;15;7.14%;11;5.24%;210
CENTRO-OESTE;52;GO;521805;PORTEIRAO;0;-;0;-;13;86.67%;2;13.33%;0;-;0;-;15
CENTRO-OESTE;52;GO;521810;PORTELANDIA;2;6.67%;1;3.33%;22;73.33%;5;16.67%;0;-;0;-;30
